time_s,accel_g
0.048500,-0.357938
0.049000,-0.453166
0.049500,-0.523647
0.050000,-0.592232
0.050500,-0.642729
0.051000,-0.696701
0.051500,-0.749018
0.052000,-0.736363
0.052500,-0.728518
0.053000,-0.674428
0.053500,-0.645977
0.054000,-0.583879
0.054500,-0.548275
0.055000,-0.471485
0.055500,-0.371456
0.056000,-0.257100
0.056500,-0.152800
0.057000,-0.066572
0.057500,0.046217
0.058000,0.142032
0.058500,0.237452
0.059000,0.335955
0.059500,0.454099
0.060000,0.512111
0.060500,0.568077
0.061000,0.626446
0.061500,0.652890
0.062000,0.673358
0.062500,0.693735
0.063000,0.686720
0.063500,0.661202
0.064000,0.623078
0.064500,0.557113
0.065000,0.480030
0.065500,0.408962
0.066000,0.327552
0.066500,0.246274
0.067000,0.135322
0.067500,0.023466
0.068000,-0.061735
0.068500,-0.174761
0.069000,-0.271564
0.069500,-0.331657
0.070000,-0.420222
0.070500,-0.479865
0.071000,-0.552470
0.071500,-0.606666
0.072000,-0.639010
0.072500,-0.645829
0.073000,-0.643098
0.073500,-0.636490
0.074000,-0.607735
0.074500,-0.584192
0.075000,-0.518074
0.075500,-0.471242
0.076000,-0.378932
0.076500,-0.286605
0.077000,-0.195651
0.077500,-0.100267
0.078000,-0.041564
0.078500,0.075069
0.079000,0.173144
0.079500,0.260874
0.080000,0.324135
0.080500,0.409697
0.081000,0.485565
0.081500,0.503168
0.082000,0.563968
0.082500,0.599993
0.083000,0.597965
0.083500,0.611497
0.084000,0.580317
0.084500,0.554521
0.085000,0.514581
0.085500,0.474822
0.086000,0.412598
0.086500,0.354103
0.087000,0.257378
0.087500,0.180979
0.088000,0.103867
0.088500,0.011381
0.089000,-0.094302
0.089500,-0.158536
0.090000,-0.250655
0.090500,-0.317881
0.091000,-0.387505
0.091500,-0.437427
0.092000,-0.495936
0.092500,-0.550726
0.093000,-0.568770
0.093500,-0.558811
0.094000,-0.567820
0.094500,-0.540436
0.095000,-0.522650
0.095500,-0.493782
0.096000,-0.425107
0.096500,-0.384394
0.097000,-0.329898
0.097500,-0.215831
0.098000,-0.177717
0.098500,-0.070607
0.099000,0.016018
0.099500,0.091242
0.100000,0.153094
0.100500,0.255207
0.101000,0.299399
0.101500,0.361855
0.102000,0.424908
0.102500,0.480108
0.103000,0.507939
0.103500,0.533638
0.104000,0.529129
0.104500,0.527608
0.105000,0.502106
0.105500,0.483455
0.106000,0.455127
0.106500,0.398647
0.107000,0.349576
0.107500,0.274434
0.108000,0.203659
0.108500,0.135443
0.109000,0.056366
0.109500,-0.013246
0.110000,-0.094229
0.110500,-0.153213
0.111000,-0.243315
0.111500,-0.307880
0.112000,-0.372838
0.112500,-0.410215
0.113000,-0.442058
0.113500,-0.484621
0.114000,-0.495379
0.114500,-0.494134
0.115000,-0.497445
0.115500,-0.484723
0.116000,-0.442243
0.116500,-0.413480
0.117000,-0.364072
0.117500,-0.302066
0.118000,-0.241279
0.118500,-0.189591
0.119000,-0.120718
0.119500,-0.039713
0.120000,0.029401
0.120500,0.083654
0.121000,0.184454
0.121500,0.236716
0.122000,0.303164
0.122500,0.336454
0.123000,0.405241
0.123500,0.421344
0.124000,0.450964
0.124500,0.452412
0.125000,0.468607
0.125500,0.461330
0.126000,0.444760
0.126500,0.423920
0.127000,0.383574
0.127500,0.347597
0.128000,0.280656
0.128500,0.216854
0.129000,0.163447
0.129500,0.103457
0.130000,0.041271
0.130500,-0.031753
0.131000,-0.125016
0.131500,-0.168182
0.132000,-0.217544
0.132500,-0.286010
0.133000,-0.339475
0.133500,-0.371137
0.134000,-0.410562
0.134500,-0.421098
0.135000,-0.439707
0.135500,-0.427615
0.136000,-0.428459
0.136500,-0.422871
0.137000,-0.382548
0.137500,-0.343630
0.138000,-0.315289
0.138500,-0.263661
0.139000,-0.226609
0.139500,-0.134385
0.140000,-0.086321
0.140500,-0.037321
0.141000,0.030498
0.141500,0.108788
0.142000,0.178629
0.142500,0.225955
0.143000,0.281913
0.143500,0.309900
0.144000,0.343638
0.144500,0.393731
0.145000,0.408772
0.145500,0.413321
0.146000,0.426830
0.146500,0.395488
0.147000,0.382624
0.147500,0.370232
0.148000,0.343504
0.148500,0.283256
0.149000,0.251896
0.149500,0.175984
0.150000,0.128387
0.150500,0.063901
0.151000,-0.010844
0.151500,-0.052718
0.152000,-0.104655
0.152500,-0.171188
0.153000,-0.221958
0.153500,-0.253583
0.154000,-0.319966
0.154500,-0.355209
0.155000,-0.371619
0.155500,-0.393446
0.156000,-0.375666
0.156500,-0.384838
0.157000,-0.386634
0.157500,-0.365721
0.158000,-0.304519
0.158500,-0.305379
0.159000,-0.266452
0.159500,-0.209720
0.160000,-0.155787
0.160500,-0.106016
0.161000,-0.061270
0.161500,-0.006874
0.162000,0.067153
0.162500,0.115415
0.163000,0.151353
0.163500,0.227161
0.164000,0.265706
0.164500,0.291945
0.165000,0.321283
0.165500,0.348240
0.166000,0.353141
0.166500,0.352373
0.167000,0.366594
0.167500,0.338267
0.168000,0.337936
0.168500,0.293551
0.169000,0.274105
0.169500,0.234848
0.170000,0.210016
0.170500,0.133432
0.171000,0.078833
0.171500,0.033635
0.172000,-0.024605
0.172500,-0.072096
0.173000,-0.113005
0.173500,-0.157557
0.174000,-0.192725
0.174500,-0.255731
0.175000,-0.255159
0.175500,-0.288319
0.176000,-0.329632
0.176500,-0.362438
0.177000,-0.344533
0.177500,-0.339356
0.178000,-0.351776
0.178500,-0.309365
0.179000,-0.286510
0.179500,-0.260482
0.180000,-0.208953
0.180500,-0.163120
0.181000,-0.132327
0.181500,-0.076849
0.182000,-0.035862
0.182500,0.013018
0.183000,0.071103
0.183500,0.123071
0.184000,0.156775
0.184500,0.180895
0.185000,0.244677
0.185500,0.253026
0.186000,0.294115
0.186500,0.327814
0.187000,0.319857
0.187500,0.310821
0.188000,0.303479
0.188500,0.317999
0.189000,0.287470
0.189500,0.267983
0.190000,0.241000
0.190500,0.195332
0.191000,0.152603
0.191500,0.102801
0.192000,0.035758
0.192500,0.004482
0.193000,-0.028118
0.193500,-0.075358
0.194000,-0.113813
0.194500,-0.160425
0.195000,-0.195021
0.195500,-0.221513
0.196000,-0.265627
0.196500,-0.281057
0.197000,-0.309243
0.197500,-0.291704
0.198000,-0.302436
0.198500,-0.292445
0.199000,-0.269740
0.199500,-0.255808
0.200000,-0.242721
0.200500,-0.204429
0.201000,-0.192184
0.201500,-0.135268
0.202000,-0.097025
0.202500,-0.071423
0.203000,0.002298
0.203500,0.026032
0.204000,0.083037
0.204500,0.113153
0.205000,0.165532
0.205500,0.203213
0.206000,0.211774
0.206500,0.229592
0.207000,0.262709
0.207500,0.285546
0.208000,0.280028
0.208500,0.277827
0.209000,0.282639
0.209500,0.237685
0.210000,0.240265
0.210500,0.209206
0.211000,0.197218
0.211500,0.153909
0.212000,0.113670
0.212500,0.082228
0.213000,0.030320
0.213500,0.003337
0.214000,-0.044722
0.214500,-0.081932
0.215000,-0.123577
0.215500,-0.142665
0.216000,-0.184608
0.216500,-0.205662
0.217000,-0.228559
0.217500,-0.258450
0.218000,-0.255951
0.218500,-0.263430
0.219000,-0.262980
0.219500,-0.263279
0.220000,-0.250909
0.220500,-0.220626
0.221000,-0.183441
0.221500,-0.185834
0.222000,-0.140607
0.222500,-0.114918
0.223000,-0.066402
0.223500,-0.031404
0.224000,0.013855
0.224500,0.014039
0.225000,0.073526
0.225500,0.105179
0.226000,0.146687
0.226500,0.169692
0.227000,0.195504
0.227500,0.228994
0.228000,0.256305
0.228500,0.218696
0.229000,0.247831
0.229500,0.252352
0.230000,0.241944
0.230500,0.225677
0.231000,0.197716
0.231500,0.179272
0.232000,0.169260
0.232500,0.142573
0.233000,0.099785
0.233500,0.055421
0.234000,0.028470
0.234500,-0.011561
0.235000,-0.039951
0.235500,-0.079224
0.236000,-0.119594
0.236500,-0.141674
0.237000,-0.182147
0.237500,-0.184909
0.238000,-0.199533
0.238500,-0.236494
0.239000,-0.228684
0.239500,-0.245671
0.240000,-0.222552
0.240500,-0.216472
0.241000,-0.215002
0.241500,-0.185199
0.242000,-0.177596
0.242500,-0.154060
0.243000,-0.124475
0.243500,-0.088838
0.244000,-0.057515
0.244500,-0.018559
0.245000,0.008174
0.245500,0.055868
0.246000,0.091032
0.246500,0.106439
0.247000,0.124995
0.247500,0.171055
0.248000,0.195895
0.248500,0.199269
0.249000,0.199782
0.249500,0.222177
0.250000,0.236607
0.250500,0.199426
0.251000,0.214877
0.251500,0.194163
0.252000,0.171554
0.252500,0.163932
0.253000,0.121329
0.253500,0.109761
0.254000,0.090147
0.254500,0.047440
0.255000,0.004723
0.255500,-0.036605
0.256000,-0.063310
0.256500,-0.099248
0.257000,-0.093172
0.257500,-0.137354
0.258000,-0.167795
0.258500,-0.189112
0.259000,-0.201489
0.259500,-0.204453
0.260000,-0.219585
0.260500,-0.190946
0.261000,-0.211426
0.261500,-0.203426
0.262000,-0.179793
0.262500,-0.151572
0.263000,-0.132387
0.263500,-0.126880
0.264000,-0.093203
0.264500,-0.066010
0.265000,-0.032592
0.265500,-0.005041
0.266000,0.013245
0.266500,0.039668
0.267000,0.082252
0.267500,0.094893
0.268000,0.144020
0.268500,0.151353
0.269000,0.157718
0.269500,0.177882
0.270000,0.184967
0.270500,0.193313
0.271000,0.204236
0.271500,0.176075
0.272000,0.163299
0.272500,0.172742
0.273000,0.151217
0.273500,0.134887
0.274000,0.115066
0.274500,0.083808
0.275000,0.066826
0.275500,0.021939
0.276000,0.003022
0.276500,-0.034303
0.277000,-0.064909
0.277500,-0.073690
0.278000,-0.098423
0.278500,-0.145300
0.279000,-0.155887
0.279500,-0.157145
0.280000,-0.161045
0.280500,-0.186131
0.281000,-0.184924
0.281500,-0.196669
0.282000,-0.152747
0.282500,-0.164426
0.283000,-0.147775
0.283500,-0.134213
0.284000,-0.112440
0.284500,-0.094030
0.285000,-0.079665
0.285500,-0.043490
0.286000,-0.023756
0.286500,0.015198
0.287000,0.021445
0.287500,0.049144
0.288000,0.085535
0.288500,0.114153
0.289000,0.122812
0.289500,0.131372
0.290000,0.151206
0.290500,0.157778
0.291000,0.188347
0.291500,0.181109
0.292000,0.183598
0.292500,0.168937
0.293000,0.151613
0.293500,0.156634
0.294000,0.145972
0.294500,0.116946
0.295000,0.090173
0.295500,0.078591
0.296000,0.040038
0.296500,0.026517
0.297000,-0.013399
0.297500,-0.040849
0.298000,-0.049488
0.298500,-0.074388
0.299000,-0.079442
0.299500,-0.119650
0.300000,-0.132223
0.300500,-0.156373
0.301000,-0.172825
0.301500,-0.177556
0.302000,-0.157081
0.302500,-0.171771
0.303000,-0.143417
0.303500,-0.131673
0.304000,-0.136711
0.304500,-0.102276
0.305000,-0.098991
0.305500,-0.070229
0.306000,-0.062227
0.306500,-0.027641
0.307000,-0.023222
0.307500,0.016053
0.308000,0.028484
0.308500,0.054132
0.309000,0.082727
0.309500,0.097253
0.310000,0.111622
0.310500,0.133837
0.311000,0.145835
0.311500,0.132010
0.312000,0.156156
0.312500,0.158546
0.313000,0.142143
0.313500,0.147969
0.314000,0.122090
0.314500,0.137936
0.315000,0.106650
0.315500,0.091345
0.316000,0.085225
0.316500,0.051399
0.317000,0.037317
0.317500,-0.001223
0.318000,-0.018601
0.318500,-0.048557
0.319000,-0.057529
0.319500,-0.064571
0.320000,-0.090267
0.320500,-0.099082
0.321000,-0.131073
0.321500,-0.139717
0.322000,-0.142591
0.322500,-0.136095
0.323000,-0.138908
0.323500,-0.140048
0.324000,-0.127940
0.324500,-0.126949
0.325000,-0.114132
0.325500,-0.086840
0.326000,-0.089547
0.326500,-0.063855
0.327000,-0.030182
0.327500,-0.024971
0.328000,0.001854
0.328500,0.009492
0.329000,0.055418
0.329500,0.032717
0.330000,0.061864
0.330500,0.078898
0.331000,0.119741
0.331500,0.118745
0.332000,0.121596
0.332500,0.117535
0.333000,0.137139
0.333500,0.134743
0.334000,0.123752
0.334500,0.109905
0.335000,0.105141
0.335500,0.107074
0.336000,0.094512
0.336500,0.076608
0.337000,0.057212
0.337500,0.022665
0.338000,0.021661
0.338500,-0.008694
0.339000,-0.017413
0.339500,-0.032122
0.340000,-0.061525
0.340500,-0.081645
0.341000,-0.076408
0.341500,-0.095712
0.342000,-0.116158
0.342500,-0.147808
0.343000,-0.123595
0.343500,-0.119292
0.344000,-0.113989
0.344500,-0.128773
0.345000,-0.122472
0.345500,-0.111928
0.346000,-0.088194
0.346500,-0.095274
0.347000,-0.069797
0.347500,-0.061602
0.348000,-0.032249
0.348500,-0.032385
0.349000,0.005293
0.349500,0.014788
0.350000,0.035181
0.350500,0.059393
0.351000,0.080961
0.351500,0.066274
0.352000,0.105034
0.352500,0.110113
0.353000,0.108694
0.353500,0.130220
0.354000,0.119949
0.354500,0.130195
0.355000,0.107881
0.355500,0.099135
0.356000,0.111638
0.356500,0.110423
0.357000,0.082562
0.357500,0.070930
0.358000,0.041754
0.358500,0.016757
0.359000,0.010685
0.359500,0.010693
0.360000,-0.039968
0.360500,-0.042784
0.361000,-0.072488
0.361500,-0.066470
0.362000,-0.071407
0.362500,-0.103283
0.363000,-0.103535
0.363500,-0.092466
0.364000,-0.110459
0.364500,-0.123314
0.365000,-0.122913
0.365500,-0.126248
0.366000,-0.092340
0.366500,-0.099277
0.367000,-0.071022
0.367500,-0.060788
0.368000,-0.062489
0.368500,-0.046414
0.369000,-0.017752
0.369500,-0.007964
0.370000,0.009418
0.370500,0.006217
0.371000,0.047003
0.371500,0.043658
0.372000,0.042829
0.372500,0.070905
0.373000,0.091030
0.373500,0.115493
0.374000,0.096320
0.374500,0.089979
0.375000,0.125382
0.375500,0.104258
0.376000,0.096237
0.376500,0.082067
0.377000,0.074701
0.377500,0.089571
0.378000,0.060488
0.378500,0.044866
0.379000,0.031135
0.379500,0.037167
0.380000,0.000451
0.380500,-0.002569
0.381000,-0.021094
0.381500,-0.035640
0.382000,-0.060135
0.382500,-0.056864
0.383000,-0.057942
0.383500,-0.083389
0.384000,-0.098974
0.384500,-0.107527
0.385000,-0.095371
0.385500,-0.100445
0.386000,-0.097001
0.386500,-0.091909
0.387000,-0.100795
0.387500,-0.070323
0.388000,-0.066173
0.388500,-0.058147
0.389000,-0.042734
0.389500,-0.022498
0.390000,-0.017293
0.390500,-0.012077
0.391000,0.022335
0.391500,0.020259
0.392000,0.030617
0.392500,0.034595
0.393000,0.061425
0.393500,0.060546
0.394000,0.073841
0.394500,0.089698
0.395000,0.089744
0.395500,0.101732
0.396000,0.094692
0.396500,0.085598
0.397000,0.082320
0.397500,0.074609
0.398000,0.078444
0.398500,0.062909
0.399000,0.047937
0.399500,0.048732
0.400000,0.028641
0.400500,0.009868
0.401000,-0.014005
0.401500,-0.007856
0.402000,-0.022836
0.402500,-0.037053
0.403000,-0.053325
0.403500,-0.067560
0.404000,-0.070331
0.404500,-0.072995
0.405000,-0.082084
0.405500,-0.085886
0.406000,-0.090822
0.406500,-0.082492
0.407000,-0.081343
0.407500,-0.087120
0.408000,-0.066133
0.408500,-0.058328
0.409000,-0.049157
0.409500,-0.048408
0.410000,-0.037846
0.410500,-0.035554
0.411000,-0.004003
0.411500,-0.020308
0.412000,0.009641
0.412500,0.022270
0.413000,0.045695
0.413500,0.047681
0.414000,0.047454
0.414500,0.050894
0.415000,0.064409
0.415500,0.077643
0.416000,0.080241
0.416500,0.079005
0.417000,0.073588
0.417500,0.075963
0.418000,0.083922
0.418500,0.057170
0.419000,0.061233
0.419500,0.068470
0.420000,0.048083
0.420500,0.027331
0.421000,0.027193
0.421500,0.001359
0.422000,-0.002886
0.422500,0.000887
0.423000,-0.007007
0.423500,-0.053675
0.424000,-0.039336
0.424500,-0.035490
0.425000,-0.067773
0.425500,-0.065619
0.426000,-0.057445
0.426500,-0.080085
0.427000,-0.071564
0.427500,-0.075872
0.428000,-0.092031
0.428500,-0.065181
0.429000,-0.064819
0.429500,-0.046641
0.430000,-0.026709
0.430500,-0.031496
0.431000,-0.031889
0.431500,-0.013016
0.432000,-0.004470
0.432500,0.014853
0.433000,0.001174
0.433500,0.014420
0.434000,0.015498
0.434500,0.051015
0.435000,0.052677
0.435500,0.053143
0.436000,0.057582
0.436500,0.062904
0.437000,0.061562
0.437500,0.068223
0.438000,0.065472
0.438500,0.081702
0.439000,0.066905
0.439500,0.049940
0.440000,0.045457
0.440500,0.055336
0.441000,0.038988
0.441500,0.027806
0.442000,0.021946
0.442500,0.020213
0.443000,-0.018244
0.443500,-0.023751
0.444000,-0.043493
0.444500,-0.030282
0.445000,-0.047310
0.445500,-0.057496
0.446000,-0.064463
0.446500,-0.054666
0.447000,-0.066318
0.447500,-0.072030
0.448000,-0.054478
0.448500,-0.076280
0.449000,-0.075768
0.449500,-0.033069
0.450000,-0.057274
0.450500,-0.052431
0.451000,-0.046647
0.451500,-0.032272
0.452000,-0.013957
0.452500,-0.004693
0.453000,0.002988
0.453500,0.004534
0.454000,0.001968
0.454500,0.028807
0.455000,0.049631
0.455500,0.052772
0.456000,0.047033
0.456500,0.062235
0.457000,0.054589
0.457500,0.060778
0.458000,0.050466
0.458500,0.059704
0.459000,0.062890
0.459500,0.057036
0.460000,0.062356
0.460500,0.068210
0.461000,0.056220
0.461500,0.032650
0.462000,0.020319
0.462500,0.012459
0.463000,0.000184
0.463500,0.001108
0.464000,-0.004178
0.464500,-0.015471
0.465000,-0.023831
0.465500,-0.032018
0.466000,-0.041945
0.466500,-0.054110
0.467000,-0.034410
0.467500,-0.044951
0.468000,-0.067001
0.468500,-0.068138
0.469000,-0.064770
0.469500,-0.057067
0.470000,-0.042006
0.470500,-0.040428
0.471000,-0.034759
0.471500,-0.028420
0.472000,-0.021244
0.472500,-0.017261
0.473000,-0.011891
0.473500,-0.009113
0.474000,-0.016717
0.474500,0.008002
0.475000,0.035626
0.475500,0.020070
0.476000,0.026453
0.476500,0.049339
0.477000,0.045502
0.477500,0.044380
0.478000,0.068102
0.478500,0.060903
0.479000,0.063123
0.479500,0.049524
0.480000,0.058517
0.480500,0.054485
0.481000,0.054533
0.481500,0.053262
0.482000,0.047123
0.482500,0.030884
0.483000,0.028769
0.483500,0.002668
0.484000,0.012526
0.484500,0.004815
0.485000,-0.013940
0.485500,-0.025536
0.486000,-0.025685
0.486500,-0.043918
0.487000,-0.034301
0.487500,-0.039800
0.488000,-0.056271
0.488500,-0.049266
0.489000,-0.040876
0.489500,-0.041562
0.490000,-0.041531
0.490500,-0.051423
0.491000,-0.050465
0.491500,-0.047107
0.492000,-0.032432
0.492500,-0.009161
0.493000,-0.012245
0.493500,-0.003496
0.494000,0.001483
0.494500,-0.020578
0.495000,0.001164
0.495500,0.006348
0.496000,0.030387
0.496500,0.041543
0.497000,0.024189
0.497500,0.036649
0.498000,0.046415
0.498500,0.039587
0.499000,0.040787
0.499500,0.041816
0.500000,0.057849
0.500500,0.039207
0.501000,0.057860
0.501500,0.044543
0.502000,0.047386
0.502500,0.050635
0.503000,0.023043
0.503500,0.015473
0.504000,0.021315
0.504500,-0.000206
0.505000,-0.004315
0.505500,-0.005299
0.506000,-0.009608
0.506500,-0.030328
0.507000,-0.027987
0.507500,-0.024028
0.508000,-0.021399
0.508500,-0.058582
0.509000,-0.029201
0.509500,-0.035715
0.510000,-0.056596
0.510500,-0.060646
0.511000,-0.040983
0.511500,-0.047482
0.512000,-0.039123
0.512500,-0.028181
0.513000,-0.035945
0.513500,-0.025388
0.514000,-0.016461
0.514500,-0.006084
0.515000,0.009165
0.515500,0.015263
0.516000,0.007423
0.516500,0.009218
0.517000,0.041452
0.517500,0.030004
0.518000,0.033119
0.518500,0.022456
0.519000,0.044936
0.519500,0.032357
0.520000,0.037512
0.520500,0.029798
0.521000,0.037956
0.521500,0.042795
0.522000,0.025357
0.522500,0.028588
0.523000,0.033093
0.523500,0.016935
0.524000,0.012031
0.524500,0.010679
0.525000,-0.000977
0.525500,0.012949
0.526000,-0.009358
0.526500,0.001905
0.527000,-0.002658
0.527500,-0.029596
0.528000,-0.022639
0.528500,-0.032629
0.529000,-0.043344
0.529500,-0.038764
0.530000,-0.040420
0.530500,-0.032646
0.531000,-0.030312
0.531500,-0.051366
0.532000,-0.043414
0.532500,-0.032163
0.533000,-0.022954
0.533500,-0.055507
0.534000,-0.014209
0.534500,-0.023834
0.535000,-0.001611
0.535500,-0.015499
0.536000,-0.013720
0.536500,0.000943
0.537000,0.018041
0.537500,0.012383
0.538000,-0.006049
0.538500,0.029263
0.539000,0.010804
0.539500,0.020894
0.540000,0.022141
0.540500,0.017684
0.541000,0.024989
0.541500,0.028243
0.542000,0.031730
0.542500,0.036196
0.543000,0.031450
0.543500,0.017271
0.544000,0.026834
0.544500,0.034326
0.545000,0.029496
0.545500,0.016351
0.546000,0.015878
0.546500,0.013100
0.547000,0.012226
0.547500,0.010070
0.548000,-0.015411
0.548500,-0.019931
0.549000,-0.007073
0.549500,-0.010255
0.550000,-0.013914
0.550500,-0.055527
0.551000,-0.036316
0.551500,-0.067917
0.552000,-0.028497
0.552500,-0.034862
0.553000,-0.033719
0.553500,-0.033672
0.554000,-0.016597
0.554500,-0.029242
0.555000,-0.012084
0.555500,-0.012500
0.556000,-0.009707
0.556500,-0.003616
0.557000,-0.001945
0.557500,-0.008762
0.558000,0.014484
0.558500,0.019405
0.559000,0.015475
0.559500,0.028453
0.560000,0.033862
0.560500,0.015200
0.561000,0.029083
0.561500,0.027855
0.562000,0.024278
0.562500,0.036834
0.563000,0.024697
0.563500,0.027557
0.564000,0.032411
0.564500,0.030846
0.565000,0.027350
0.565500,0.042733
0.566000,0.011178
0.566500,0.014195
0.567000,-0.005124
0.567500,0.006861
0.568000,0.008678
0.568500,0.004472
0.569000,-0.018632
0.569500,-0.019370
0.570000,-0.007853
0.570500,-0.024824
0.571000,-0.017156
0.571500,-0.038697
0.572000,-0.016700
0.572500,-0.021121
0.573000,-0.026897
0.573500,-0.038953
0.574000,-0.031296
0.574500,-0.026254
0.575000,-0.022582
0.575500,-0.023159
0.576000,-0.020709
0.576500,-0.012615
0.577000,0.003706
0.577500,-0.025832
0.578000,-0.014872
0.578500,-0.012005
0.579000,0.001067
0.579500,-0.005181
0.580000,0.021736
0.580500,0.020755
0.581000,0.020382
0.581500,0.018690
0.582000,0.029066
0.582500,0.030637
0.583000,0.032854
0.583500,0.022284
0.584000,0.035421
0.584500,0.012945
0.585000,0.038209
0.585500,-0.007538
0.586000,0.014296
0.586500,0.004773
0.587000,0.020897
0.587500,-0.005919
0.588000,0.022905
0.588500,-0.015085
0.589000,0.016338
0.589500,-0.003660
0.590000,-0.011816
0.590500,-0.011450
0.591000,0.002813
0.591500,-0.013035
0.592000,-0.046637
0.592500,-0.014135
0.593000,-0.024932
0.593500,-0.043969
0.594000,-0.020111
0.594500,-0.039116
0.595000,-0.023875
0.595500,-0.021463
0.596000,-0.027861
0.596500,-0.012014
0.597000,-0.025416
0.597500,-0.009675
0.598000,-0.013206
0.598500,-0.005554
0.599000,0.019568
0.599500,0.005493
0.600000,-0.002590
0.600500,0.010811
0.601000,0.007697
0.601500,0.018692
0.602000,0.022648
0.602500,0.023989
0.603000,0.025551
0.603500,0.020273
0.604000,0.030626
0.604500,0.036530
0.605000,0.018988
0.605500,0.023279
0.606000,0.022608
0.606500,0.032190
0.607000,0.027666
0.607500,0.006428
0.608000,0.011015
0.608500,-0.008297
0.609000,-0.006789
0.609500,-0.000804
0.610000,0.001570
0.610500,0.001170
0.611000,-0.014916
0.611500,-0.028483
0.612000,-0.013773
0.612500,-0.021842
0.613000,-0.017773
0.613500,-0.021802
0.614000,-0.017098
0.614500,-0.018007
0.615000,-0.015858
0.615500,-0.028078
0.616000,-0.012197
0.616500,-0.025355
0.617000,-0.017198
0.617500,0.003231
0.618000,-0.008803
0.618500,-0.020767
0.619000,0.009251
0.619500,0.007907
0.620000,0.012897
0.620500,0.006994
0.621000,0.011876
0.621500,0.009272
0.622000,0.007505
0.622500,0.032361
0.623000,0.015533
0.623500,0.016116
0.624000,0.017712
0.624500,0.041485
0.625000,0.031835
0.625500,0.019045
0.626000,0.021425
0.626500,0.025653
0.627000,0.027543
0.627500,0.000449
0.628000,0.023027
0.628500,0.008942
0.629000,0.001161
0.629500,0.000854
0.630000,0.009324
0.630500,0.015625
0.631000,-0.003779
0.631500,-0.002850
0.632000,-0.019510
0.632500,-0.009132
0.633000,-0.008160
0.633500,-0.033224
0.634000,-0.025002
0.634500,-0.013036
0.635000,-0.039122
0.635500,-0.025371
0.636000,-0.015234
0.636500,-0.037277
0.637000,-0.023012
0.637500,-0.016748
0.638000,-0.006263
0.638500,-0.025494
0.639000,0.001122
0.639500,-0.003974
0.640000,0.008022
0.640500,0.010841
0.641000,0.005770
0.641500,0.010301
0.642000,-0.009011
0.642500,-0.002386
0.643000,0.003526
0.643500,0.012241
0.644000,0.026827
0.644500,0.001027
0.645000,0.016593
0.645500,0.007057
0.646000,0.004709
0.646500,0.034611
0.647000,0.019938
0.647500,0.033990
0.648000,0.027775
0.648500,0.004664
0.649000,-0.007026
0.649500,0.029618
0.650000,0.002077
0.650500,-0.008231
0.651000,0.007159
0.651500,-0.001342
0.652000,-0.012297
0.652500,-0.011775
0.653000,-0.009230
0.653500,-0.012371
0.654000,-0.007512
0.654500,-0.020205
0.655000,-0.021319
0.655500,-0.012685
0.656000,-0.015939
0.656500,-0.008068
0.657000,-0.021022
0.657500,-0.018603
0.658000,-0.027882
0.658500,0.000329
0.659000,-0.026620
0.659500,-0.008406
0.660000,-0.016867
0.660500,-0.001930
0.661000,0.004887
0.661500,-0.016160
0.662000,0.000890
0.662500,-0.011885
0.663000,0.022262
0.663500,0.006125
0.664000,-0.003126
0.664500,0.007405
0.665000,0.028985
