freq_hz,amp_mm_s
68.50,0.02695
68.75,0.02080
69.00,0.02905
69.25,0.03866
69.50,0.02075
69.75,0.02628
70.00,0.02283
70.25,0.02047
70.50,0.02617
70.75,0.02838
71.00,0.03839
71.25,0.04316
71.50,0.02208
71.75,0.02015
72.00,0.02288
72.25,0.03264
72.50,0.03897
72.75,0.03207
73.00,0.02625
73.25,0.03128
73.50,0.03446
73.75,0.04957
74.00,0.06423
74.25,0.12899
74.50,0.21699
74.75,0.29383
75.00,0.33030
75.25,0.29505
75.50,0.20808
75.75,0.13140
76.00,0.06910
76.25,0.04812
76.50,0.02383
76.75,0.02439
77.00,0.02667
77.25,0.03621
77.50,0.02241
77.75,0.02453
78.00,0.02856
78.25,0.02040
78.50,0.02157
78.75,0.04273
79.00,0.02288
79.25,0.03795
79.50,0.02029
79.75,0.03475
80.00,0.04020
80.25,0.02327
80.50,0.02862
80.75,0.02920
81.00,0.03326
81.25,0.04284
81.50,0.02332
81.75,0.02900
82.00,0.02094
82.25,0.02789
82.50,0.02941
82.75,0.03498
83.00,0.02294
83.25,0.03974
83.50,0.02579
83.75,0.04039
84.00,0.02244
84.25,0.02478
84.50,0.02434
84.75,0.02911
85.00,0.02112
85.25,0.04243
85.50,0.02883
85.75,0.03621
86.00,0.03337
86.25,0.03561
86.50,0.02372
86.75,0.05044
87.00,0.02353
87.25,0.02144
87.50,0.03087
87.75,0.02449
88.00,0.02258
88.25,0.03076
88.50,0.02282
88.75,0.02411
89.00,0.04145
89.25,0.03386
89.50,0.02732
89.75,0.02586
90.00,0.02331
90.25,0.03866
90.50,0.03280
90.75,0.02699
91.00,0.02769
91.25,0.02806
91.50,0.03135
91.75,0.03283
92.00,0.04211
92.25,0.03197
92.50,0.04087
92.75,0.03103
93.00,0.04675
93.25,0.04701
93.50,0.03949
93.75,0.04004
94.00,0.03953
94.25,0.05075
94.50,0.05194
94.75,0.05561
95.00,0.05434
95.25,0.04900
95.50,0.06755
95.75,0.05200
96.00,0.06639
96.25,0.06760
96.50,0.06262
96.75,0.06564
97.00,0.07115
97.25,0.07299
97.50,0.07181
97.75,0.07758
98.00,0.10520
98.25,0.08645
98.50,0.08684
98.75,0.10092
99.00,0.11446
99.25,0.10483
99.50,0.10320
99.75,0.11639
100.00,0.11203
100.25,0.12339
100.50,0.13274
100.75,0.13343
101.00,0.13154
101.25,0.14188
101.50,0.15686
101.75,0.14531
102.00,0.15261
102.25,0.15847
102.50,0.15945
102.75,0.16658
103.00,0.17240
103.25,0.17876
103.50,0.17909
103.75,0.18736
104.00,0.18339
104.25,0.18586
104.50,0.18888
104.75,0.18822
105.00,0.20252
105.25,0.19280
105.50,0.21311
105.75,0.19866
106.00,0.20465
106.25,0.21369
106.50,0.20728
106.75,0.20945
107.00,0.21681
107.25,0.20473
107.50,0.20940
107.75,0.21038
108.00,0.20912
108.25,0.19653
108.50,0.19491
108.75,0.19423
109.00,0.20621
109.25,0.19127
109.50,0.19561
109.75,0.19467
110.00,0.19716
110.25,0.17881
110.50,0.19053
110.75,0.17472
111.00,0.17772
111.25,0.16768
111.50,0.15939
111.75,0.15677
112.00,0.14822
112.25,0.15483
112.50,0.14082
112.75,0.13655
113.00,0.13883
113.25,0.12719
113.50,0.12423
113.75,0.12837
114.00,0.11522
114.25,0.11311
114.50,0.10781
114.75,0.11281
115.00,0.09953
115.25,0.10855
115.50,0.09507
115.75,0.08224
116.00,0.08952
116.25,0.08096
116.50,0.08658
116.75,0.07703
117.00,0.07099
117.25,0.06190
117.50,0.06719
117.75,0.06400
118.00,0.06268
118.25,0.06001
118.50,0.05194
118.75,0.05242
119.00,0.04924
119.25,0.04409
119.50,0.05413
119.75,0.03950
120.00,0.04646
120.25,0.04453
120.50,0.03989
120.75,0.04050
121.00,0.03531
121.25,0.04884
121.50,0.03929
121.75,0.04103
122.00,0.04274
122.25,0.02850
122.50,0.03833
122.75,0.03650
123.00,0.04282
123.25,0.02809
123.50,0.03486
123.75,0.03737
124.00,0.02620
124.25,0.02942
124.50,0.03136
124.75,0.04182
125.00,0.04015
125.25,0.02993
125.50,0.02441
125.75,0.02535
126.00,0.02556
126.25,0.02993
126.50,0.02915
126.75,0.02866
127.00,0.02364
127.25,0.02748
127.50,0.02277
127.75,0.03050
128.00,0.02835
128.25,0.02983
128.50,0.02180
128.75,0.03167
129.00,0.02453
129.25,0.03045
129.50,0.03914
129.75,0.02701
130.00,0.02276
130.25,0.02019
130.50,0.02838
130.75,0.03020
131.00,0.03752
131.25,0.03264
131.50,0.02132
131.75,0.04197
132.00,0.02417
132.25,0.03008
132.50,0.02595
132.75,0.02685
133.00,0.02939
133.25,0.02411
133.50,0.02801
133.75,0.02119
134.00,0.02416
134.25,0.03599
134.50,0.04090
134.75,0.02733
135.00,0.02523
135.25,0.02064
135.50,0.02250
135.75,0.02486
136.00,0.02486
136.25,0.02258
136.50,0.03344
136.75,0.02159
137.00,0.03051
137.25,0.03561
137.50,0.03028
137.75,0.03044
138.00,0.03883
138.25,0.02663
138.50,0.02185
138.75,0.02423
139.00,0.02890
139.25,0.03581
139.50,0.02920
139.75,0.03848
140.00,0.04211
140.25,0.02142
140.50,0.02744
140.75,0.02136
141.00,0.02317
141.25,0.02768
141.50,0.03103
141.75,0.02556
142.00,0.03431
142.25,0.03041
142.50,0.02820
142.75,0.02136
143.00,0.02990
143.25,0.03339
143.50,0.02681
143.75,0.02670
144.00,0.03114
144.25,0.02243
144.50,0.02398
144.75,0.03101
145.00,0.02060
145.25,0.02332
145.50,0.03045
145.75,0.02991
146.00,0.02557
146.25,0.03169
146.50,0.02427
146.75,0.02078
147.00,0.03518
147.25,0.05314
147.50,0.02254
147.75,0.02495
148.00,0.03008
148.25,0.03362
148.50,0.02766
148.75,0.03242
149.00,0.03629
149.25,0.03443
149.50,0.02502
149.75,0.02807
150.00,0.03668
150.25,0.02260
150.50,0.02110
150.75,0.02580
151.00,0.03712
151.25,0.02428
151.50,0.02996
151.75,0.02339
152.00,0.02145
152.25,0.02954
152.50,0.02644
152.75,0.02200
153.00,0.02009
153.25,0.02563
153.50,0.02856
153.75,0.03247
154.00,0.02388
154.25,0.02897
154.50,0.03326
154.75,0.03588
155.00,0.02226
155.25,0.02213
155.50,0.02415
155.75,0.02014
156.00,0.02552
156.25,0.02938
156.50,0.02427
156.75,0.02150
157.00,0.02997
157.25,0.03264
157.50,0.02391
157.75,0.02358
158.00,0.02719
158.25,0.02298
158.50,0.02686
158.75,0.03705
159.00,0.02359
159.25,0.02166
159.50,0.02948
159.75,0.02610
160.00,0.02569
160.25,0.03666
160.50,0.03431
160.75,0.02917
161.00,0.02176
161.25,0.02628
161.50,0.03659
161.75,0.02019
162.00,0.02751
162.25,0.03577
162.50,0.02211
162.75,0.02965
163.00,0.02980
163.25,0.02420
163.50,0.04305
163.75,0.02555
164.00,0.02811
164.25,0.02984
164.50,0.03123
164.75,0.02895
165.00,0.03262
165.25,0.02791
165.50,0.02584
165.75,0.03132
166.00,0.02741
166.25,0.02447
166.50,0.02059
166.75,0.03087
167.00,0.03803
167.25,0.02433
167.50,0.02413
167.75,0.02562
168.00,0.02826
168.25,0.05702
168.50,0.02117
168.75,0.02804
169.00,0.02152
169.25,0.03573
169.50,0.04021
169.75,0.03698
170.00,0.02684
170.25,0.04262
170.50,0.03078
170.75,0.02175
171.00,0.02194
171.25,0.02046
171.50,0.02817
171.75,0.02035
172.00,0.02063
172.25,0.04144
172.50,0.02487
172.75,0.03010
173.00,0.02421
173.25,0.03877
173.50,0.03337
173.75,0.03674
174.00,0.02606
174.25,0.02665
174.50,0.02819
174.75,0.02681
175.00,0.02588
175.25,0.02869
175.50,0.03506
175.75,0.02108
176.00,0.03001
176.25,0.02148
176.50,0.02882
176.75,0.02175
177.00,0.02148
177.25,0.02179
177.50,0.02034
177.75,0.03026
178.00,0.02488
178.25,0.02578
178.50,0.02129
178.75,0.02076
179.00,0.02485
179.25,0.02180
179.50,0.02415
179.75,0.03477
180.00,0.02380
180.25,0.03314
180.50,0.03350
180.75,0.03601
181.00,0.02297
181.25,0.02208
181.50,0.03804
181.75,0.03088
182.00,0.02970
182.25,0.02511
182.50,0.02546
182.75,0.03026
183.00,0.02987
183.25,0.03151
183.50,0.02111
183.75,0.02589
184.00,0.02403
184.25,0.02407
184.50,0.02344
184.75,0.02140
185.00,0.02690
185.25,0.03998
185.50,0.02195
185.75,0.03955
186.00,0.03069
186.25,0.03601
186.50,0.03366
186.75,0.02438
187.00,0.02404
187.25,0.03097
187.50,0.03067
187.75,0.03679
188.00,0.02825
188.25,0.03129
188.50,0.02891
188.75,0.02998
189.00,0.02246
189.25,0.02238
189.50,0.02596
189.75,0.02842
190.00,0.03469
190.25,0.02856
190.50,0.03078
190.75,0.02758
191.00,0.02804
191.25,0.02667
191.50,0.03296
191.75,0.02133
192.00,0.02458
192.25,0.03617
192.50,0.02822
192.75,0.02646
193.00,0.02704
193.25,0.02255
193.50,0.02542
193.75,0.02324
194.00,0.02150
194.25,0.02109
194.50,0.02871
194.75,0.02246
195.00,0.02403
195.25,0.04318
195.50,0.02260
195.75,0.02011
196.00,0.02232
196.25,0.02115
196.50,0.02272
196.75,0.02545
197.00,0.02029
197.25,0.02811
197.50,0.02695
197.75,0.02350
198.00,0.02877
198.25,0.03154
198.50,0.02168
198.75,0.02247
199.00,0.02335
199.25,0.02487
199.50,0.03855
199.75,0.03149
200.00,0.02933
