t_s,theta1_rad,theta2_rad,omega1_rad_s,omega2_rad_s,energy_J,energy_drift_rel
2.800000e-01,1.710453e+00,-2.924881e-01,-2.672824e+00,-3.528668e-01,1.490359e-01,1.421994e-10
2.900000e-01,1.683297e+00,-2.957182e-01,-2.758193e+00,-2.919265e-01,1.490359e-01,1.706202e-10
3.000000e-01,1.655291e+00,-2.983016e-01,-2.842943e+00,-2.234907e-01,1.490359e-01,2.029028e-10
3.100000e-01,1.626440e+00,-3.001624e-01,-2.927228e+00,-1.473701e-01,1.490359e-01,2.395835e-10
3.200000e-01,1.596748e+00,-3.012228e-01,-3.011237e+00,-6.337685e-02,1.490359e-01,2.812165e-10
3.300000e-01,1.566215e+00,-3.014030e-01,-3.095208e+00,2.868041e-02,1.490359e-01,3.285468e-10
3.400000e-01,1.534843e+00,-3.006216e-01,-3.179423e+00,1.290029e-01,1.490359e-01,3.827066e-10
3.500000e-01,1.502625e+00,-2.987947e-01,-3.264221e+00,2.378097e-01,1.490359e-01,4.449595e-10
3.600000e-01,1.469555e+00,-2.958363e-01,-3.350002e+00,3.553480e-01,1.490359e-01,5.169144e-10
3.700000e-01,1.435620e+00,-2.916577e-01,-3.437233e+00,4.819051e-01,1.490359e-01,6.007406e-10
3.800000e-01,1.400804e+00,-2.861670e-01,-3.526459e+00,6.178236e-01,1.490359e-01,6.990841e-10
3.900000e-01,1.365082e+00,-2.792686e-01,-3.618310e+00,7.635194e-01,1.490359e-01,8.152942e-10
4.000000e-01,1.328426e+00,-2.708623e-01,-3.713520e+00,9.195029e-01,1.490359e-01,9.535544e-10
4.100000e-01,1.290798e+00,-2.608422e-01,-3.812935e+00,1.086405e+00,1.490359e-01,1.118823e-09
4.200000e-01,1.252150e+00,-2.490953e-01,-3.917538e+00,1.265008e+00,1.490359e-01,1.316928e-09
4.300000e-01,1.212426e+00,-2.354998e-01,-4.028472e+00,1.456283e+00,1.490359e-01,1.554080e-09
4.400000e-01,1.171555e+00,-2.199234e-01,-4.147065e+00,1.661428e+00,1.490359e-01,1.835941e-09
4.500000e-01,1.129454e+00,-2.022201e-01,-4.274871e+00,1.881926e+00,1.490359e-01,2.165691e-09
4.600000e-01,1.086021e+00,-1.822277e-01,-4.413706e+00,2.119591e+00,1.490359e-01,2.537969e-09
4.700000e-01,1.041136e+00,-1.597638e-01,-4.565693e+00,2.376632e+00,1.490359e-01,2.929460e-09
4.800000e-01,9.946553e-01,-1.346217e-01,-4.733303e+00,2.655696e+00,1.490359e-01,3.276016e-09
4.900000e-01,9.464086e-01,-1.065661e-01,-4.919370e+00,2.959886e+00,1.490359e-01,3.431797e-09
5.000000e-01,8.961959e-01,-7.532864e-02,-5.127058e+00,3.292683e+00,1.490359e-01,3.092797e-09
5.100000e-01,8.437843e-01,-4.060511e-02,-5.359677e+00,3.657671e+00,1.490359e-01,1.677442e-09
5.200000e-01,7.889091e-01,-2.057761e-03,-5.620213e+00,4.057831e+00,1.490359e-01,-1.792198e-09
5.300000e-01,7.312814e-01,4.067198e-02,-5.910237e+00,4.493966e+00,1.490359e-01,-8.533312e-09
5.400000e-01,6.706122e-01,8.792749e-02,-6.227683e+00,4.961522e+00,1.490359e-01,-1.861882e-08
5.500000e-01,6.066672e-01,1.399573e-01,-6.562843e+00,5.444901e+00,1.490359e-01,-2.645784e-08
5.600000e-01,5.393713e-01,1.967653e-01,-6.892571e+00,5.909302e+00,1.490359e-01,-1.394236e-08
5.700000e-01,4.689693e-01,2.578813e-01,-7.175714e+00,6.294370e+00,1.490359e-01,4.081554e-08
5.800000e-01,3.961928e-01,3.221261e-01,-7.358422e+00,6.521921e+00,1.490360e-01,1.134224e-07
5.900000e-01,3.222845e-01,3.875787e-01,-7.397483e+00,6.529213e+00,1.490360e-01,1.219738e-07
6.000000e-01,2.487403e-01,4.519468e-01,-7.288960e+00,6.309668e+00,1.490360e-01,5.409482e-08
6.100000e-01,1.768718e-01,5.131924e-01,-7.070978e+00,5.916974e+00,1.490359e-01,-1.031036e-08
6.200000e-01,1.075050e-01,5.699662e-01,-6.797301e+00,5.427675e+00,1.490359e-01,-3.200808e-08
6.300000e-01,4.096335e-02,6.216369e-01,-6.511726e+00,4.904760e+00,1.490359e-01,-2.800409e-08
6.400000e-01,-2.277805e-02,6.680784e-01,-6.240217e+00,4.386270e+00,1.490359e-01,-1.858318e-08
6.500000e-01,-8.392784e-02,7.094382e-01,-5.994491e+00,3.890177e+00,1.490359e-01,-1.149122e-08
6.600000e-01,-1.427651e-01,7.459772e-01,-5.777804e+00,3.422461e+00,1.490359e-01,-7.551570e-09
6.700000e-01,-1.995777e-01,7.779822e-01,-5.589203e+00,2.983107e+00,1.490359e-01,-5.777548e-09
6.800000e-01,-2.546337e-01,8.057254e-01,-5.425958e+00,2.569562e+00,1.490359e-01,-5.203411e-09
6.900000e-01,-3.081705e-01,8.294484e-01,-5.284785e+00,2.178501e+00,1.490359e-01,-5.213065e-09
7.000000e-01,-3.603921e-01,8.493594e-01,-5.162407e+00,1.806644e+00,1.490359e-01,-5.469681e-09
7.100000e-01,-4.114710e-01,8.656356e-01,-5.055767e+00,1.451096e+00,1.490359e-01,-5.804175e-09
7.200000e-01,-4.615506e-01,8.784277e-01,-4.962096e+00,1.109463e+00,1.490359e-01,-6.138097e-09
7.300000e-01,-5.107478e-01,8.878649e-01,-4.878906e+00,7.798566e-01,1.490359e-01,-6.438432e-09
7.400000e-01,-5.591562e-01,8.940601e-01,-4.803959e+00,4.608594e-01,1.490359e-01,-6.694428e-09
7.500000e-01,-6.068477e-01,8.971141e-01,-4.735236e+00,1.514752e-01,1.490359e-01,-6.905775e-09
7.600000e-01,-6.538755e-01,8.971195e-01,-4.670900e+00,-1.489267e-01,1.490359e-01,-7.076384e-09
7.700000e-01,-7.002748e-01,8.941644e-01,-4.609276e+00,-4.406650e-01,1.490359e-01,-7.211926e-09
7.800000e-01,-7.460649e-01,8.883349e-01,-4.548827e+00,-7.237970e-01,1.490359e-01,-7.318577e-09
7.900000e-01,-7.912505e-01,8.797177e-01,-4.488148e+00,-9.981672e-01,1.490359e-01,-7.402415e-09
8.000000e-01,-8.358228e-01,8.684018e-01,-4.425952e+00,-1.263452e+00,1.490359e-01,-7.468899e-09
8.100000e-01,-8.797606e-01,8.544804e-01,-4.361076e+00,-1.519203e+00,1.490359e-01,-7.523393e-09
8.200000e-01,-9.230319e-01,8.380513e-01,-4.292475e+00,-1.764889e+00,1.490359e-01,-7.570497e-09
8.300000e-01,-9.655946e-01,8.192181e-01,-4.219228e+00,-1.999930e+00,1.490359e-01,-7.614263e-09
8.400000e-01,-1.007398e+00,7.980902e-01,-4.140542e+00,-2.223738e+00,1.490359e-01,-7.657815e-09
8.500000e-01,-1.048385e+00,7.747827e-01,-4.055752e+00,-2.435744e+00,1.490359e-01,-7.703870e-09
8.600000e-01,-1.088491e+00,7.494164e-01,-3.964328e+00,-2.635429e+00,1.490359e-01,-7.754383e-09
8.700000e-01,-1.127648e+00,7.221167e-01,-3.865870e+00,-2.822345e+00,1.490359e-01,-7.810235e-09
8.800000e-01,-1.165784e+00,6.930132e-01,-3.760113e+00,-2.996140e+00,1.490359e-01,-7.871916e-09
8.900000e-01,-1.202826e+00,6.622385e-01,-3.646922e+00,-3.156567e+00,1.490359e-01,-7.939258e-09
9.000000e-01,-1.238698e+00,6.299269e-01,-3.526283e+00,-3.303500e+00,1.490359e-01,-8.011428e-09
9.100000e-01,-1.273327e+00,5.962135e-01,-3.398303e+00,-3.436940e+00,1.490359e-01,-8.087411e-09
9.200000e-01,-1.306640e+00,5.612326e-01,-3.263192e+00,-3.557014e+00,1.490359e-01,-8.165624e-09
9.300000e-01,-1.338568e+00,5.251169e-01,-3.121259e+00,-3.663977e+00,1.490359e-01,-8.244420e-09
9.400000e-01,-1.369044e+00,4.879955e-01,-2.972895e+00,-3.758210e+00,1.490359e-01,-8.322120e-09
9.500000e-01,-1.398006e+00,4.499935e-01,-2.818561e+00,-3.840207e+00,1.490359e-01,-8.396947e-09
9.600000e-01,-1.425397e+00,4.112302e-01,-2.658772e+00,-3.910573e+00,1.490359e-01,-8.467281e-09
9.700000e-01,-1.451165e+00,3.718185e-01,-2.494084e+00,-3.970005e+00,1.490359e-01,-8.531691e-09
9.800000e-01,-1.475264e+00,3.318639e-01,-2.325075e+00,-4.019288e+00,1.490359e-01,-8.588914e-09
9.900000e-01,-1.497654e+00,2.914637e-01,-2.152335e+00,-4.059275e+00,1.490359e-01,-8.638116e-09
1.000000e+00,-1.518300e+00,2.507064e-01,-1.976446e+00,-4.090879e+00,1.490359e-01,-8.678712e-09
1.010000e+00,-1.537174e+00,2.096709e-01,-1.797973e+00,-4.115058e+00,1.490359e-01,-8.710333e-09
1.020000e+00,-1.554253e+00,1.684267e-01,-1.617450e+00,-4.132801e+00,1.490359e-01,-8.733051e-09
1.030000e+00,-1.569518e+00,1.270329e-01,-1.435370e+00,-4.145123e+00,1.490359e-01,-8.747139e-09
1.040000e+00,-1.582957e+00,8.553885e-02,-1.252173e+00,-4.153050e+00,1.490359e-01,-8.753098e-09
1.050000e+00,-1.594559e+00,4.398315e-02,-1.068237e+00,-4.157616e+00,1.490359e-01,-8.751454e-09
1.060000e+00,-1.604320e+00,2.394295e-03,-8.838778e-01,-4.159853e+00,1.490359e-01,-8.743027e-09
1.070000e+00,-1.612236e+00,-3.920959e-02,-6.993336e-01,-4.160793e+00,1.490359e-01,-8.728450e-09
1.080000e+00,-1.618307e+00,-8.082067e-02,-5.147666e-01,-4.161462e+00,1.490359e-01,-8.708414e-09
1.090000e+00,-1.622532e+00,-1.224413e-01,-3.302569e-01,-4.162884e+00,1.490359e-01,-8.683611e-09
1.100000e+00,-1.624912e+00,-1.640843e-01,-1.457985e-01,-4.166083e+00,1.490359e-01,-8.654493e-09
1.110000e+00,-1.625448e+00,-2.057724e-01,3.870283e-02,-4.172090e+00,1.490359e-01,-8.621525e-09
1.120000e+00,-1.624137e+00,-2.475389e-01,2.234339e-01,-4.181951e+00,1.490359e-01,-8.584838e-09
1.130000e+00,-1.620977e+00,-2.894278e-01,4.086769e-01,-4.196735e+00,1.490359e-01,-8.544957e-09
1.140000e+00,-1.615961e+00,-3.314937e-01,5.948134e-01,-4.217547e+00,1.490359e-01,-8.502359e-09
1.150000e+00,-1.609076e+00,-3.738027e-01,7.823281e-01,-4.245543e+00,1.490359e-01,-8.457841e-09
1.160000e+00,-1.600308e+00,-4.164325e-01,9.718130e-01,-4.281940e+00,1.490359e-01,-8.413634e-09
1.170000e+00,-1.589631e+00,-4.594738e-01,1.163970e+00,-4.328030e+00,1.490359e-01,-8.373550e-09
1.180000e+00,-1.577017e+00,-5.030300e-01,1.359611e+00,-4.385191e+00,1.490359e-01,-8.345314e-09
1.190000e+00,-1.562424e+00,-5.472194e-01,1.559651e+00,-4.454885e+00,1.490359e-01,-8.342144e-09
1.200000e+00,-1.545806e+00,-5.921746e-01,1.765090e+00,-4.538643e+00,1.490359e-01,-8.387257e-09
1.210000e+00,-1.527101e+00,-6.380443e-01,1.976972e+00,-4.638014e+00,1.490359e-01,-8.518664e-09
1.220000e+00,-1.506241e+00,-6.849919e-01,2.196303e+00,-4.754462e+00,1.490359e-01,-8.794862e-09
1.230000e+00,-1.483147e+00,-7.331944e-01,2.423897e+00,-4.889162e+00,1.490359e-01,-9.296270e-09
1.240000e+00,-1.457734e+00,-7.828378e-01,2.660114e+00,-5.042638e+00,1.490359e-01,-1.010961e-08
1.250000e+00,-1.429918e+00,-8.341075e-01,2.904419e+00,-5.214152e+00,1.490359e-01,-1.126486e-08
1.260000e+00,-1.399626e+00,-8.871716e-01,3.154708e+00,-5.400764e+00,1.490359e-01,-1.257521e-08
1.270000e+00,-1.366819e+00,-9.421522e-01,3.406376e+00,-5.596018e+00,1.490359e-01,-1.335695e-08
1.280000e+00,-1.331520e+00,-9.990833e-01,3.651285e+00,-5.788473e+00,1.490359e-01,-1.220929e-08
1.290000e+00,-1.293856e+00,-1.057855e+00,3.877159e+00,-5.960806e+00,1.490359e-01,-7.514096e-09
1.300000e+00,-1.254093e+00,-1.118159e+00,4.068395e+00,-6.090866e+00,1.490359e-01,6.216941e-10
1.310000e+00,-1.212657e+00,-1.179456e+00,4.209269e+00,-6.156081e+00,1.490359e-01,8.369450e-09
1.320000e+00,-1.170112e+00,-1.241010e+00,4.289153e+00,-6.140687e+00,1.490359e-01,1.028316e-08
1.330000e+00,-1.127082e+00,-1.301990e+00,4.306976e+00,-6.041989e+00,1.490359e-01,5.133685e-09
1.340000e+00,-1.084150e+00,-1.361608e+00,4.271678e+00,-5.871073e+00,1.490359e-01,-2.791640e-09
1.350000e+00,-1.041775e+00,-1.419236e+00,4.198327e+00,-5.647511e+00,1.490359e-01,-8.828140e-09
1.360000e+00,-1.000257e+00,-1.474453e+00,4.102908e+00,-5.392202e+00,1.490359e-01,-1.155908e-08
1.370000e+00,-9.597456e-01,-1.527032e+00,3.998740e+00,-5.122440e+00,1.490359e-01,-1.192307e-08
1.380000e+00,-9.202792e-01,-1.576894e+00,3.895255e+00,-4.850246e+00,1.490359e-01,-1.124084e-08
1.390000e+00,-8.818183e-01,-1.624054e+00,3.798341e+00,-4.582842e+00,1.490359e-01,-1.034913e-08
1.400000e+00,-8.442794e-01,-1.668579e+00,3.711245e+00,-4.323892e+00,1.490359e-01,-9.597546e-09
1.410000e+00,-8.075556e-01,-1.710564e+00,3.635466e+00,-4.074728e+00,1.490359e-01,-9.065304e-09
1.420000e+00,-7.715309e-01,-1.750106e+00,3.571444e+00,-3.835283e+00,1.490359e-01,-8.725542e-09
1.430000e+00,-7.360880e-01,-1.787300e+00,3.519018e+00,-3.604713e+00,1.490359e-01,-8.526185e-09
1.440000e+00,-7.011134e-01,-1.822226e+00,3.477718e+00,-3.381790e+00,1.490359e-01,-8.420499e-09
1.450000e+00,-6.664986e-01,-1.854956e+00,3.446933e+00,-3.165126e+00,1.490359e-01,-8.374039e-09
1.460000e+00,-6.321419e-01,-1.885545e+00,3.426007e+00,-2.953311e+00,1.490359e-01,-8.363729e-09
1.470000e+00,-5.979478e-01,-1.914034e+00,3.414293e+00,-2.744975e+00,1.490359e-01,-8.374969e-09
1.480000e+00,-5.638274e-01,-1.940452e+00,3.411174e+00,-2.538828e+00,1.490359e-01,-8.399045e-09
1.490000e+00,-5.296976e-01,-1.964814e+00,3.416071e+00,-2.333677e+00,1.490359e-01,-8.430904e-09
1.500000e+00,-4.954810e-01,-1.987125e+00,3.428440e+00,-2.128429e+00,1.490359e-01,-8.467639e-09
1.510000e+00,-4.611056e-01,-2.007379e+00,3.447768e+00,-1.922096e+00,1.490359e-01,-8.507698e-09
1.520000e+00,-4.265041e-01,-2.025560e+00,3.473562e+00,-1.713795e+00,1.490359e-01,-8.550559e-09
1.530000e+00,-3.916144e-01,-2.041646e+00,3.505335e+00,-1.502748e+00,1.490359e-01,-8.595613e-09
1.540000e+00,-3.563791e-01,-2.055604e+00,3.542604e+00,-1.288285e+00,1.490359e-01,-8.642562e-09
1.550000e+00,-3.207457e-01,-2.067398e+00,3.584868e+00,-1.069848e+00,1.490359e-01,-8.691143e-09
1.560000e+00,-2.846668e-01,-2.076986e+00,3.631603e+00,-8.469936e-01,1.490359e-01,-8.740834e-09
1.570000e+00,-2.481006e-01,-2.084322e+00,3.682253e+00,-6.194012e-01,1.490359e-01,-8.790822e-09
1.580000e+00,-2.110107e-01,-2.089358e+00,3.736215e+00,-3.868781e-01,1.490359e-01,-8.840214e-09
1.590000e+00,-1.733674e-01,-2.092043e+00,3.792840e+00,-1.493668e-01,1.490359e-01,-8.887890e-09
1.600000e+00,-1.351474e-01,-2.092329e+00,3.851418e+00,9.304967e-02,1.490359e-01,-8.932551e-09
1.610000e+00,-9.633508e-02,-2.090166e+00,3.911181e+00,3.401429e-01,1.490359e-01,-8.972908e-09
1.620000e+00,-5.692261e-02,-2.085511e+00,3.971300e+00,5.915372e-01,1.490359e-01,-9.007449e-09
1.630000e+00,-1.691084e-02,-2.078323e+00,4.030886e+00,8.467098e-01,1.490359e-01,-9.035221e-09
1.640000e+00,2.369018e-02,-2.068567e+00,4.088991e+00,1.104995e+00,1.490359e-01,-9.055304e-09
1.650000e+00,6.486075e-02,-2.056215e+00,4.144624e+00,1.365593e+00,1.490359e-01,-9.067032e-09
1.660000e+00,1.065710e-01,-2.041250e+00,4.196751e+00,1.627577e+00,1.490359e-01,-9.070489e-09
1.670000e+00,1.487806e-01,-2.023663e+00,4.244314e+00,1.889916e+00,1.490359e-01,-9.065972e-09
1.680000e+00,1.914385e-01,-2.003455e+00,4.286240e+00,2.151485e+00,1.490359e-01,-9.054053e-09
1.690000e+00,2.344830e-01,-1.980639e+00,4.321463e+00,2.411092e+00,1.490359e-01,-9.035960e-09
1.700000e+00,2.778419e-01,-1.955243e+00,4.348931e+00,2.667497e+00,1.490359e-01,-9.012670e-09
1.710000e+00,3.214324e-01,-1.927304e+00,4.367632e+00,2.919436e+00,1.490359e-01,-8.985387e-09
1.720000e+00,3.651621e-01,-1.896874e+00,4.376600e+00,3.165646e+00,1.490359e-01,-8.955232e-09
1.730000e+00,4.089290e-01,-1.864015e+00,4.374937e+00,3.404886e+00,1.490359e-01,-8.923039e-09
1.740000e+00,4.526226e-01,-1.828803e+00,4.361819e+00,3.635956e+00,1.490359e-01,-8.889523e-09
1.750000e+00,4.961247e-01,-1.791327e+00,4.336517e+00,3.857719e+00,1.490359e-01,-8.855208e-09
1.760000e+00,5.393102e-01,-1.751683e+00,4.298396e+00,4.069121e+00,1.490359e-01,-8.820453e-09
1.770000e+00,5.820482e-01,-1.709982e+00,4.246935e+00,4.269199e+00,1.490359e-01,-8.785780e-09
1.780000e+00,6.242031e-01,-1.666340e+00,4.181729e+00,4.457104e+00,1.490359e-01,-8.751597e-09
1.790000e+00,6.656360e-01,-1.620883e+00,4.102496e+00,4.632111e+00,1.490359e-01,-8.718736e-09
1.800000e+00,7.062057e-01,-1.573743e+00,4.009088e+00,4.793636e+00,1.490359e-01,-8.688235e-09
1.810000e+00,7.457704e-01,-1.525057e+00,3.901491e+00,4.941245e+00,1.490359e-01,-8.661179e-09
1.820000e+00,7.841887e-01,-1.474965e+00,3.779832e+00,5.074669e+00,1.490359e-01,-8.638914e-09
1.830000e+00,8.213211e-01,-1.423611e+00,3.644380e+00,5.193814e+00,1.490359e-01,-8.622907e-09
1.840000e+00,8.570316e-01,-1.371136e+00,3.495543e+00,5.298774e+00,1.490359e-01,-8.614206e-09
1.850000e+00,8.911891e-01,-1.317682e+00,3.333866e+00,5.389832e+00,1.490359e-01,-8.613384e-09
1.860000e+00,9.236684e-01,-1.263384e+00,3.160019e+00,5.467470e+00,1.490359e-01,-8.620345e-09
1.870000e+00,9.543515e-01,-1.208375e+00,2.974786e+00,5.532365e+00,1.490359e-01,-8.634159e-09
1.880000e+00,9.831291e-01,-1.152777e+00,2.779047e+00,5.585381e+00,1.490359e-01,-8.653027e-09
1.890000e+00,1.009901e+00,-1.096703e+00,2.573754e+00,5.627565e+00,1.490359e-01,-8.674481e-09
1.900000e+00,1.034576e+00,-1.040257e+00,2.359906e+00,5.660130e+00,1.490359e-01,-8.695077e-09
1.910000e+00,1.057074e+00,-9.835283e-01,2.138518e+00,5.684435e+00,1.490359e-01,-8.711334e-09
1.920000e+00,1.077324e+00,-9.265913e-01,1.910595e+00,5.701971e+00,1.490359e-01,-8.719391e-09
1.930000e+00,1.095267e+00,-8.695061e-01,1.677091e+00,5.714334e+00,1.490359e-01,-8.715637e-09
1.940000e+00,1.110850e+00,-8.123162e-01,1.438886e+00,5.723210e+00,1.490359e-01,-8.696674e-09
1.950000e+00,1.124032e+00,-7.550477e-01,1.196753e+00,5.730355e+00,1.490359e-01,-8.659296e-09
1.960000e+00,1.134774e+00,-6.977088e-01,9.513291e-01,5.737586e+00,1.490359e-01,-8.600607e-09
1.970000e+00,1.143049e+00,-6.402895e-01,7.030898e-01,5.746773e+00,1.490359e-01,-8.517746e-09
1.980000e+00,1.148828e+00,-5.827604e-01,4.523259e-01,5.759841e+00,1.490359e-01,-8.407519e-09
1.990000e+00,1.152087e+00,-5.250731e-01,1.991198e-01,5.778779e+00,1.490359e-01,-8.266327e-09
2.000000e+00,1.152802e+00,-4.671584e-01,-5.667648e-02,5.805660e+00,1.490359e-01,-8.089759e-09
2.010000e+00,1.150944e+00,-4.089261e-01,-3.154654e-01,5.842675e+00,1.490359e-01,-7.871976e-09
2.020000e+00,1.146480e+00,-3.502633e-01,-5.779299e-01,5.892171e+00,1.490359e-01,-7.607183e-09
2.030000e+00,1.139370e+00,-2.910326e-01,-8.450636e-01,5.956713e+00,1.490359e-01,-7.289733e-09
2.040000e+00,1.129559e+00,-2.310694e-01,-1.118207e+00,6.039148e+00,1.490359e-01,-6.918624e-09
2.050000e+00,1.116980e+00,-1.701793e-01,-1.399085e+00,6.142694e+00,1.490359e-01,-6.504606e-09
2.060000e+00,1.101544e+00,-1.081330e-01,-1.689852e+00,6.271023e+00,1.490359e-01,-6.088657e-09
2.070000e+00,1.083141e+00,-4.466226e-02,-1.993115e+00,6.428343e+00,1.490359e-01,-5.778287e-09
2.080000e+00,1.061630e+00,2.054634e-02,-2.311924e+00,6.619429e+00,1.490359e-01,-5.820409e-09
2.090000e+00,1.036840e+00,8.785629e-02,-2.649649e+00,6.849508e+00,1.490359e-01,-6.732759e-09
2.100000e+00,1.008563e+00,1.576840e-01,-3.009605e+00,7.123814e+00,1.490359e-01,-9.494864e-09
2.110000e+00,9.765652e-01,2.304939e-01,-3.394130e+00,7.446402e+00,1.490359e-01,-1.563612e-08
2.120000e+00,9.406000e-01,3.067745e-01,-3.802562e+00,7.817440e+00,1.490359e-01,-2.642812e-08
2.130000e+00,9.004582e-01,3.869759e-01,-4.227289e+00,8.227827e+00,1.490359e-01,-3.889497e-08
2.140000e+00,8.560677e-01,4.713743e-01,-4.647267e+00,8.650213e+00,1.490359e-01,-3.644910e-08
2.150000e+00,8.076646e-01,5.598384e-01,-5.020995e+00,9.029060e+00,1.490359e-01,1.233044e-08
2.160000e+00,7.560042e-01,6.515356e-01,-5.287838e+00,9.281951e+00,1.490360e-01,1.025487e-07
2.170000e+00,7.024585e-01,7.447900e-01,-5.390951e+00,9.330618e+00,1.490360e-01,1.387267e-07
2.180000e+00,6.487895e-01,8.373826e-01,-5.314759e+00,9.152376e+00,1.490360e-01,7.141500e-08
2.190000e+00,5.966366e-01,9.272449e-01,-5.097436e+00,8.797489e+00,1.490359e-01,-8.049711e-09
2.200000e+00,5.470994e-01,1.013025e+00,-4.802124e+00,8.349890e+00,1.490359e-01,-3.692466e-08
2.210000e+00,5.006718e-01,1.094174e+00,-4.482746e+00,7.880596e+00,1.490359e-01,-3.261156e-08
2.220000e+00,4.574141e-01,1.170707e+00,-4.171880e+00,7.431485e+00,1.490359e-01,-2.135478e-08
2.230000e+00,4.171544e-01,1.242933e+00,-3.884609e+00,7.020861e+00,1.490359e-01,-1.306279e-08
2.240000e+00,3.796268e-01,1.311269e+00,-3.625714e+00,6.653385e+00,1.490359e-01,-8.602180e-09
2.250000e+00,3.445461e-01,1.376139e+00,-3.394947e+00,6.327269e+00,1.490359e-01,-6.663724e-09
2.260000e+00,3.116418e-01,1.437938e+00,-3.189995e+00,6.038242e+00,1.490359e-01,-6.063890e-09
2.270000e+00,2.806700e-01,1.497012e+00,-3.007931e+00,5.781455e+00,1.490359e-01,-6.086560e-09
2.280000e+00,2.514165e-01,1.553659e+00,-2.845865e+00,5.552293e+00,1.490359e-01,-6.358217e-09
2.290000e+00,2.236947e-01,1.608136e+00,-2.701185e+00,5.346669e+00,1.490359e-01,-6.700602e-09
2.300000e+00,1.973424e-01,1.660659e+00,-2.571633e+00,5.161073e+00,1.490359e-01,-7.035478e-09
2.310000e+00,1.722181e-01,1.711414e+00,-2.455292e+00,4.992538e+00,1.490359e-01,-7.333166e-09
2.320000e+00,1.481979e-01,1.760558e+00,-2.350552e+00,4.838571e+00,1.490359e-01,-7.585944e-09
2.330000e+00,1.251729e-01,1.808227e+00,-2.256061e+00,4.697076e+00,1.490359e-01,-7.795766e-09
2.340000e+00,1.030464e-01,1.854536e+00,-2.170685e+00,4.566292e+00,1.490359e-01,-7.967852e-09
