t_s,speed_mps,drag_power_W,cumulative_energy_J
65,9.6667,368.8004,12672.5605
66,9.5333,353.8175,13033.8695
67,9.4000,339.2442,13380.4004
68,9.2667,325.0748,13712.5599
69,9.1333,311.3038,14030.7492
70,9.0000,297.9256,14335.3640
71,9.3333,332.1094,14650.3815
72,9.6667,368.8004,15000.8363
73,10.0000,408.0857,15389.2794
74,10.3333,450.0522,15818.3483
75,10.6667,494.7864,16290.7676
76,11.0000,542.3749,16809.3483
77,11.3333,592.9040,17376.9877
78,11.6667,646.4597,17996.6695
79,12.0000,703.1281,18671.4635
80,12.3333,762.9950,19404.5250
81,12.6667,826.1459,20199.0954
82,13.0000,892.6662,21058.5015
83,13.3333,962.6413,21986.1552
84,13.6667,1036.1561,22985.5539
85,14.0000,1113.2957,24060.2798
86,14.5333,1244.4698,25239.1625
87,15.0667,1385.4860,26554.1404
88,15.6000,1536.6894,28015.2281
89,16.1333,1698.4238,29632.7847
90,16.6667,1871.0317,31417.5125
91,17.2000,2054.8549,33380.4558
92,17.7333,2250.2335,35533.0000
93,18.2667,2457.5069,37886.8702
94,18.8000,2677.0130,40454.1301
95,19.3333,2909.0889,43247.1811
96,19.8667,3154.0704,46278.7608
97,20.4000,3412.2919,49561.9419
98,20.9333,3684.0870,53110.1313
99,21.4667,3969.7881,56937.0689
100,22.0000,4269.7263,61056.8261
101,22.5333,4584.2317,65483.8051
102,23.0667,4913.6331,70232.7375
103,23.6000,5258.2582,75318.6831
104,24.1333,5618.4337,80757.0291
105,24.6667,5994.4851,86563.4885
106,25.2000,6386.7365,92754.0992
107,25.7333,6795.5111,99345.2231
108,26.2667,7221.1310,106353.5441
109,26.8000,7663.9170,113796.0681
110,27.3333,8124.1887,121690.1209
111,27.8667,8602.2647,130053.3476
112,28.4000,9098.4625,138903.7112
113,28.9333,9613.0982,148259.4916
114,29.4667,10146.4870,158139.2842
115,30.0000,10698.9429,168561.9991
116,30.2000,10911.0934,179367.0173
117,30.4000,11125.9857,190385.5568
118,30.6000,11343.6362,201620.3677
119,30.8000,11564.0612,213074.2164
120,31.0000,11787.2773,224749.8857
121,31.2000,12013.3007,236650.1747
122,31.4000,12242.1478,248777.8989
123,31.6000,12473.8349,261135.8903
124,31.8000,12708.3782,273726.9968
125,32.0000,12945.7942,286554.0830
126,32.2000,13186.0990,299620.0296
127,32.4000,13429.3088,312927.7335
128,32.6000,13675.4398,326480.1078
129,32.8000,13924.5083,340280.0819
130,33.0000,14176.5304,354330.6013
131,32.9333,14092.1939,368464.9635
132,32.8667,14008.1867,382515.1538
133,32.8000,13924.5083,396481.5013
134,32.7333,13841.1581,410364.3346
135,32.6667,13758.1355,424163.9814
136,32.6000,13675.4398,437880.7691
137,32.5333,13593.0706,451515.0243
138,32.4667,13511.0271,465067.0731
139,32.4000,13429.3088,478537.2410
140,32.3333,13347.9151,491925.8530
141,32.2667,13266.8453,505233.2331
142,32.2000,13186.0990,518459.7053
143,32.1333,13105.6754,531605.5925
144,32.0667,13025.5740,544671.2172
145,32.0000,12945.7942,557656.9013
146,32.0667,13025.5740,570642.5854
147,32.1333,13105.6754,583708.2101
148,32.2000,13186.0990,596854.0972
149,32.2667,13266.8453,610080.5694
150,32.3333,13347.9151,623387.9496
151,32.4000,13429.3088,636776.5615
152,32.4667,13511.0271,650246.7294
153,32.5333,13593.0706,663798.7783
154,32.6000,13675.4398,677433.0335
155,32.6667,13758.1355,691149.8211
156,32.7333,13841.1581,704949.4680
157,32.8000,13924.5083,718832.3012
158,32.8667,14008.1867,732798.6487
159,32.9333,14092.1939,746848.8391
160,33.0000,14176.5304,760983.2012
161,32.8667,14008.1867,775075.5598
162,32.7333,13841.1581,789000.2323
163,32.6000,13675.4398,802758.5313
164,32.4667,13511.0271,816351.7647
165,32.3333,13347.9151,829781.2358
166,32.2000,13186.0990,843048.2428
167,32.0667,13025.5740,856154.0793
168,31.9333,12866.3354,869100.0340
169,31.8000,12708.3782,881887.3908
170,31.6667,12551.6978,894517.4288
171,31.5333,12396.2893,906991.4224
172,31.4000,12242.1478,919310.6409
173,31.2667,12089.2685,931476.3490
174,31.1333,11937.6466,943489.8066
175,31.0000,11787.2773,955352.2685
176,30.4000,11125.9857,966808.9000
177,29.8000,10489.5176,977616.6517
178,29.2000,9877.4288,987800.1249
179,28.6000,9289.2732,997383.4759
180,28.0000,8724.6029,1006390.4140
