theta_deg,u_theta_m_s,Cp
155.0,-8.4524,0.2856
156.0,-8.1347,0.3383
157.0,-7.8146,0.3893
158.0,-7.4921,0.4387
159.0,-7.1674,0.4863
160.0,-6.8404,0.5321
161.0,-6.5114,0.576
162.0,-6.1803,0.618
163.0,-5.8474,0.6581
164.0,-5.5127,0.6961
165.0,-5.1764,0.7321
166.0,-4.8384,0.7659
167.0,-4.499,0.7976
168.0,-4.1582,0.8271
169.0,-3.8162,0.8544
170.0,-3.473,0.8794
171.0,-3.1287,0.9021
172.0,-2.7835,0.9225
173.0,-2.4374,0.9406
174.0,-2.0906,0.9563
175.0,-1.7431,0.9696
176.0,-1.3951,0.9805
177.0,-1.0467,0.989
178.0,-0.698,0.9951
179.0,-0.349,0.9988
180.0,-0.0,1.0
181.0,0.349,0.9988
182.0,0.698,0.9951
183.0,1.0467,0.989
184.0,1.3951,0.9805
185.0,1.7431,0.9696
186.0,2.0906,0.9563
187.0,2.4374,0.9406
188.0,2.7835,0.9225
189.0,3.1287,0.9021
190.0,3.473,0.8794
191.0,3.8162,0.8544
192.0,4.1582,0.8271
193.0,4.499,0.7976
194.0,4.8384,0.7659
195.0,5.1764,0.7321
196.0,5.5127,0.6961
197.0,5.8474,0.6581
198.0,6.1803,0.618
199.0,6.5114,0.576
200.0,6.8404,0.5321
201.0,7.1674,0.4863
202.0,7.4921,0.4387
203.0,7.8146,0.3893
204.0,8.1347,0.3383
205.0,8.4524,0.2856
206.0,8.7674,0.2313
207.0,9.0798,0.1756
208.0,9.3894,0.1184
209.0,9.6962,0.0598
210.0,10.0,-0.0
211.0,10.3008,-0.0611
212.0,10.5984,-0.1233
213.0,10.8928,-0.1865
214.0,11.1839,-0.2508
215.0,11.4715,-0.316
216.0,11.7557,-0.382
217.0,12.0363,-0.4487
218.0,12.3132,-0.5162
219.0,12.5864,-0.5842
220.0,12.8558,-0.6527
221.0,13.1212,-0.7217
222.0,13.3826,-0.7909
223.0,13.64,-0.8605
224.0,13.8932,-0.9302
225.0,14.1421,-1.0
226.0,14.3868,-1.0698
227.0,14.6271,-1.1395
228.0,14.8629,-1.2091
229.0,15.0942,-1.2783
230.0,15.3209,-1.3473
231.0,15.5429,-1.4158
232.0,15.7602,-1.4838
233.0,15.9727,-1.5513
234.0,16.1803,-1.618
235.0,16.383,-1.684
236.0,16.5808,-1.7492
237.0,16.7734,-1.8135
238.0,16.961,-1.8767
239.0,17.1433,-1.9389
240.0,17.3205,-2.0
241.0,17.4924,-2.0598
242.0,17.659,-2.1184
243.0,17.8201,-2.1756
244.0,17.9759,-2.2313
245.0,18.1262,-2.2856
246.0,18.2709,-2.3383
247.0,18.4101,-2.3893
248.0,18.5437,-2.4387
249.0,18.6716,-2.4863
250.0,18.7939,-2.5321
251.0,18.9104,-2.576
252.0,19.0211,-2.618
253.0,19.1261,-2.6581
254.0,19.2252,-2.6961
255.0,19.3185,-2.7321
256.0,19.4059,-2.7659
257.0,19.4874,-2.7976
258.0,19.563,-2.8271
259.0,19.6325,-2.8544
260.0,19.6962,-2.8794
261.0,19.7538,-2.9021
262.0,19.8054,-2.9225
263.0,19.8509,-2.9406
264.0,19.8904,-2.9563
265.0,19.9239,-2.9696
266.0,19.9513,-2.9805
267.0,19.9726,-2.989
268.0,19.9878,-2.9951
269.0,19.997,-2.9988
270.0,20.0,-3.0
271.0,19.997,-2.9988
272.0,19.9878,-2.9951
273.0,19.9726,-2.989
274.0,19.9513,-2.9805
275.0,19.9239,-2.9696
276.0,19.8904,-2.9563
277.0,19.8509,-2.9406
278.0,19.8054,-2.9225
279.0,19.7538,-2.9021
280.0,19.6962,-2.8794
281.0,19.6325,-2.8544
282.0,19.563,-2.8271
283.0,19.4874,-2.7976
284.0,19.4059,-2.7659
285.0,19.3185,-2.7321
286.0,19.2252,-2.6961
287.0,19.1261,-2.6581
288.0,19.0211,-2.618
289.0,18.9104,-2.576
290.0,18.7939,-2.5321
291.0,18.6716,-2.4863
292.0,18.5437,-2.4387
293.0,18.4101,-2.3893
294.0,18.2709,-2.3383
295.0,18.1262,-2.2856
296.0,17.9759,-2.2313
297.0,17.8201,-2.1756
298.0,17.659,-2.1184
299.0,17.4924,-2.0598
300.0,17.3205,-2.0
301.0,17.1433,-1.9389
302.0,16.961,-1.8767
303.0,16.7734,-1.8135
304.0,16.5808,-1.7492
305.0,16.383,-1.684
306.0,16.1803,-1.618
307.0,15.9727,-1.5513
308.0,15.7602,-1.4838
309.0,15.5429,-1.4158
310.0,15.3209,-1.3473
311.0,15.0942,-1.2783
312.0,14.8629,-1.2091
313.0,14.6271,-1.1395
314.0,14.3868,-1.0698
315.0,14.1421,-1.0
316.0,13.8932,-0.9302
317.0,13.64,-0.8605
318.0,13.3826,-0.7909
319.0,13.1212,-0.7217
320.0,12.8558,-0.6527
321.0,12.5864,-0.5842
322.0,12.3132,-0.5162
323.0,12.0363,-0.4487
324.0,11.7557,-0.382
325.0,11.4715,-0.316
326.0,11.1839,-0.2508
327.0,10.8928,-0.1865
328.0,10.5984,-0.1233
329.0,10.3008,-0.0611
330.0,10.0,-0.0
331.0,9.6962,0.0598
332.0,9.3894,0.1184
333.0,9.0798,0.1756
334.0,8.7674,0.2313
335.0,8.4524,0.2856
336.0,8.1347,0.3383
337.0,7.8146,0.3893
338.0,7.4921,0.4387
339.0,7.1674,0.4863
340.0,6.8404,0.5321
341.0,6.5114,0.576
342.0,6.1803,0.618
343.0,5.8474,0.6581
344.0,5.5127,0.6961
345.0,5.1764,0.7321
346.0,4.8384,0.7659
347.0,4.499,0.7976
348.0,4.1582,0.8271
349.0,3.8162,0.8544
350.0,3.473,0.8794
351.0,3.1287,0.9021
352.0,2.7835,0.9225
353.0,2.4374,0.9406
354.0,2.0906,0.9563
355.0,1.7431,0.9696
356.0,1.3951,0.9805
357.0,1.0467,0.989
358.0,0.698,0.9951
359.0,0.349,0.9988
