scheme,r,t,x,u,u_exact
btcs,5.0,0.0,0.900000,0.309017,0.309017
btcs,5.0,0.0,0.920000,0.248690,0.248690
btcs,5.0,0.0,0.940000,0.187381,0.187381
btcs,5.0,0.0,0.960000,0.125333,0.125333
btcs,5.0,0.0,0.980000,0.062791,0.062791
btcs,5.0,0.0,1.000000,0.000000,0.000000
btcs,5.0,0.125,0.000000,0.000000,0.000000
btcs,5.0,0.125,0.020000,0.018696,0.018285
btcs,5.0,0.125,0.040000,0.037317,0.036499
btcs,5.0,0.125,0.060000,0.055792,0.054568
btcs,5.0,0.125,0.080000,0.074046,0.072422
btcs,5.0,0.125,0.100000,0.092009,0.089990
btcs,5.0,0.125,0.120000,0.109608,0.107203
btcs,5.0,0.125,0.140000,0.126774,0.123992
btcs,5.0,0.125,0.160000,0.143440,0.140293
btcs,5.0,0.125,0.180000,0.159540,0.156040
btcs,5.0,0.125,0.200000,0.175011,0.171171
btcs,5.0,0.125,0.220000,0.189791,0.185626
btcs,5.0,0.125,0.240000,0.203821,0.199349
btcs,5.0,0.125,0.260000,0.217048,0.212285
btcs,5.0,0.125,0.280000,0.229417,0.224383
btcs,5.0,0.125,0.300000,0.240882,0.235596
btcs,5.0,0.125,0.320000,0.251395,0.245879
btcs,5.0,0.125,0.340000,0.260917,0.255192
btcs,5.0,0.125,0.360000,0.269409,0.263497
btcs,5.0,0.125,0.380000,0.276837,0.270763
btcs,5.0,0.125,0.400000,0.283173,0.276960
btcs,5.0,0.125,0.420000,0.288392,0.282064
btcs,5.0,0.125,0.440000,0.292472,0.286055
btcs,5.0,0.125,0.460000,0.295398,0.288917
btcs,5.0,0.125,0.480000,0.297159,0.290638
btcs,5.0,0.125,0.500000,0.297746,0.291213
btcs,5.0,0.125,0.520000,0.297159,0.290638
btcs,5.0,0.125,0.540000,0.295398,0.288917
btcs,5.0,0.125,0.560000,0.292472,0.286055
btcs,5.0,0.125,0.580000,0.288392,0.282064
btcs,5.0,0.125,0.600000,0.283173,0.276960
btcs,5.0,0.125,0.620000,0.276837,0.270763
btcs,5.0,0.125,0.640000,0.269409,0.263497
btcs,5.0,0.125,0.660000,0.260917,0.255192
btcs,5.0,0.125,0.680000,0.251395,0.245879
btcs,5.0,0.125,0.700000,0.240882,0.235596
btcs,5.0,0.125,0.720000,0.229417,0.224383
btcs,5.0,0.125,0.740000,0.217048,0.212285
btcs,5.0,0.125,0.760000,0.203821,0.199349
btcs,5.0,0.125,0.780000,0.189791,0.185626
btcs,5.0,0.125,0.800000,0.175011,0.171171
btcs,5.0,0.125,0.820000,0.159540,0.156040
btcs,5.0,0.125,0.840000,0.143440,0.140293
btcs,5.0,0.125,0.860000,0.126774,0.123992
btcs,5.0,0.125,0.880000,0.109608,0.107203
btcs,5.0,0.125,0.900000,0.092009,0.089990
btcs,5.0,0.125,0.920000,0.074046,0.072422
btcs,5.0,0.125,0.940000,0.055792,0.054568
btcs,5.0,0.125,0.960000,0.037317,0.036499
btcs,5.0,0.125,0.980000,0.018696,0.018285
btcs,5.0,0.125,1.000000,0.000000,0.000000
btcs,5.0,0.25,0.000000,0.000000,0.000000
btcs,5.0,0.25,0.020000,0.005459,0.005325
btcs,5.0,0.25,0.040000,0.010896,0.010629
btcs,5.0,0.25,0.060000,0.016290,0.015891
btcs,5.0,0.25,0.080000,0.021620,0.021090
btcs,5.0,0.25,0.100000,0.026865,0.026206
btcs,5.0,0.25,0.120000,0.032004,0.031219
btcs,5.0,0.25,0.140000,0.037016,0.036108
btcs,5.0,0.25,0.160000,0.041882,0.040855
btcs,5.0,0.25,0.180000,0.046583,0.045441
btcs,5.0,0.25,0.200000,0.051100,0.049847
btcs,5.0,0.25,0.220000,0.055416,0.054057
btcs,5.0,0.25,0.240000,0.059513,0.058053
btcs,5.0,0.25,0.260000,0.063375,0.061820
btcs,5.0,0.25,0.280000,0.066986,0.065343
btcs,5.0,0.25,0.300000,0.070334,0.068609
btcs,5.0,0.25,0.320000,0.073404,0.071603
btcs,5.0,0.25,0.340000,0.076184,0.074315
btcs,5.0,0.25,0.360000,0.078663,0.076734
btcs,5.0,0.25,0.380000,0.080832,0.078850
btcs,5.0,0.25,0.400000,0.082682,0.080654
btcs,5.0,0.25,0.420000,0.084206,0.082141
btcs,5.0,0.25,0.440000,0.085397,0.083303
btcs,5.0,0.25,0.460000,0.086252,0.084136
btcs,5.0,0.25,0.480000,0.086766,0.084638
btcs,5.0,0.25,0.500000,0.086937,0.084805
btcs,5.0,0.25,0.520000,0.086766,0.084638
btcs,5.0,0.25,0.540000,0.086252,0.084136
btcs,5.0,0.25,0.560000,0.085397,0.083303
btcs,5.0,0.25,0.580000,0.084206,0.082141
btcs,5.0,0.25,0.600000,0.082682,0.080654
btcs,5.0,0.25,0.620000,0.080832,0.078850
btcs,5.0,0.25,0.640000,0.078663,0.076734
btcs,5.0,0.25,0.660000,0.076184,0.074315
btcs,5.0,0.25,0.680000,0.073404,0.071603
btcs,5.0,0.25,0.700000,0.070334,0.068609
btcs,5.0,0.25,0.720000,0.066986,0.065343
btcs,5.0,0.25,0.740000,0.063375,0.061820
btcs,5.0,0.25,0.760000,0.059513,0.058053
btcs,5.0,0.25,0.780000,0.055416,0.054057
btcs,5.0,0.25,0.800000,0.051100,0.049847
btcs,5.0,0.25,0.820000,0.046583,0.045441
btcs,5.0,0.25,0.840000,0.041882,0.040855
btcs,5.0,0.25,0.860000,0.037016,0.036108
btcs,5.0,0.25,0.880000,0.032004,0.031219
btcs,5.0,0.25,0.900000,0.026865,0.026206
btcs,5.0,0.25,0.920000,0.021620,0.021090
btcs,5.0,0.25,0.940000,0.016290,0.015891
btcs,5.0,0.25,0.960000,0.010896,0.010629
btcs,5.0,0.25,0.980000,0.005459,0.005325
btcs,5.0,0.25,1.000000,0.000000,0.000000
btcs,5.0,0.5,0.000000,0.000000,0.000000
btcs,5.0,0.5,0.020000,0.000475,0.000452
btcs,5.0,0.5,0.040000,0.000947,0.000901
btcs,5.0,0.5,0.060000,0.001416,0.001348
btcs,5.0,0.5,0.080000,0.001880,0.001789
btcs,5.0,0.5,0.100000,0.002336,0.002222
btcs,5.0,0.5,0.120000,0.002782,0.002648
btcs,5.0,0.5,0.140000,0.003218,0.003062
btcs,5.0,0.5,0.160000,0.003641,0.003465
btcs,5.0,0.5,0.180000,0.004050,0.003854
btcs,5.0,0.5,0.200000,0.004443,0.004227
btcs,5.0,0.5,0.220000,0.004818,0.004584
btcs,5.0,0.5,0.240000,0.005174,0.004923
btcs,5.0,0.5,0.260000,0.005510,0.005243
btcs,5.0,0.5,0.280000,0.005824,0.005541
btcs,5.0,0.5,0.300000,0.006115,0.005818
btcs,5.0,0.5,0.320000,0.006382,0.006072
btcs,5.0,0.5,0.340000,0.006623,0.006302
btcs,5.0,0.5,0.360000,0.006839,0.006507
btcs,5.0,0.5,0.380000,0.007027,0.006687
btcs,5.0,0.5,0.400000,0.007188,0.006840
btcs,5.0,0.5,0.420000,0.007321,0.006966
btcs,5.0,0.5,0.440000,0.007424,0.007064
btcs,5.0,0.5,0.460000,0.007498,0.007135
btcs,5.0,0.5,0.480000,0.007543,0.007178
btcs,5.0,0.5,0.500000,0.007558,0.007192
btcs,5.0,0.5,0.520000,0.007543,0.007178
btcs,5.0,0.5,0.540000,0.007498,0.007135
btcs,5.0,0.5,0.560000,0.007424,0.007064
btcs,5.0,0.5,0.580000,0.007321,0.006966
btcs,5.0,0.5,0.600000,0.007188,0.006840
btcs,5.0,0.5,0.620000,0.007027,0.006687
btcs,5.0,0.5,0.640000,0.006839,0.006507
btcs,5.0,0.5,0.660000,0.006623,0.006302
btcs,5.0,0.5,0.680000,0.006382,0.006072
btcs,5.0,0.5,0.700000,0.006115,0.005818
btcs,5.0,0.5,0.720000,0.005824,0.005541
btcs,5.0,0.5,0.740000,0.005510,0.005243
btcs,5.0,0.5,0.760000,0.005174,0.004923
btcs,5.0,0.5,0.780000,0.004818,0.004584
btcs,5.0,0.5,0.800000,0.004443,0.004227
btcs,5.0,0.5,0.820000,0.004050,0.003854
btcs,5.0,0.5,0.840000,0.003641,0.003465
btcs,5.0,0.5,0.860000,0.003218,0.003062
btcs,5.0,0.5,0.880000,0.002782,0.002648
btcs,5.0,0.5,0.900000,0.002336,0.002222
btcs,5.0,0.5,0.920000,0.001880,0.001789
btcs,5.0,0.5,0.940000,0.001416,0.001348
btcs,5.0,0.5,0.960000,0.000947,0.000901
btcs,5.0,0.5,0.980000,0.000475,0.000452
btcs,5.0,0.5,1.000000,0.000000,0.000000
btcs,26.0,0.0,0.000000,0.000000,0.000000
btcs,26.0,0.0,0.020000,0.062791,0.062791
btcs,26.0,0.0,0.040000,0.125333,0.125333
btcs,26.0,0.0,0.060000,0.187381,0.187381
btcs,26.0,0.0,0.080000,0.248690,0.248690
btcs,26.0,0.0,0.100000,0.309017,0.309017
btcs,26.0,0.0,0.120000,0.368125,0.368125
btcs,26.0,0.0,0.140000,0.425779,0.425779
btcs,26.0,0.0,0.160000,0.481754,0.481754
btcs,26.0,0.0,0.180000,0.535827,0.535827
btcs,26.0,0.0,0.200000,0.587785,0.587785
btcs,26.0,0.0,0.220000,0.637424,0.637424
btcs,26.0,0.0,0.240000,0.684547,0.684547
btcs,26.0,0.0,0.260000,0.728969,0.728969
btcs,26.0,0.0,0.280000,0.770513,0.770513
btcs,26.0,0.0,0.300000,0.809017,0.809017
btcs,26.0,0.0,0.320000,0.844328,0.844328
btcs,26.0,0.0,0.340000,0.876307,0.876307
btcs,26.0,0.0,0.360000,0.904827,0.904827
btcs,26.0,0.0,0.380000,0.929776,0.929776
btcs,26.0,0.0,0.400000,0.951057,0.951057
btcs,26.0,0.0,0.420000,0.968583,0.968583
btcs,26.0,0.0,0.440000,0.982287,0.982287
btcs,26.0,0.0,0.460000,0.992115,0.992115
btcs,26.0,0.0,0.480000,0.998027,0.998027
btcs,26.0,0.0,0.500000,1.000000,1.000000
btcs,26.0,0.0,0.520000,0.998027,0.998027
btcs,26.0,0.0,0.540000,0.992115,0.992115
btcs,26.0,0.0,0.560000,0.982287,0.982287
btcs,26.0,0.0,0.580000,0.968583,0.968583
btcs,26.0,0.0,0.600000,0.951057,0.951057
btcs,26.0,0.0,0.620000,0.929776,0.929776
btcs,26.0,0.0,0.640000,0.904827,0.904827
btcs,26.0,0.0,0.660000,0.876307,0.876307
btcs,26.0,0.0,0.680000,0.844328,0.844328
btcs,26.0,0.0,0.700000,0.809017,0.809017
btcs,26.0,0.0,0.720000,0.770513,0.770513
btcs,26.0,0.0,0.740000,0.728969,0.728969
btcs,26.0,0.0,0.760000,0.684547,0.684547
btcs,26.0,0.0,0.780000,0.637424,0.637424
btcs,26.0,0.0,0.800000,0.587785,0.587785
btcs,26.0,0.0,0.820000,0.535827,0.535827
btcs,26.0,0.0,0.840000,0.481754,0.481754
btcs,26.0,0.0,0.860000,0.425779,0.425779
btcs,26.0,0.0,0.880000,0.368125,0.368125
btcs,26.0,0.0,0.900000,0.309017,0.309017
btcs,26.0,0.0,0.920000,0.248690,0.248690
btcs,26.0,0.0,0.940000,0.187381,0.187381
btcs,26.0,0.0,0.960000,0.125333,0.125333
btcs,26.0,0.0,0.980000,0.062791,0.062791
btcs,26.0,0.0,1.000000,0.000000,0.000000
btcs,26.0,0.125,0.000000,0.000000,0.000000
btcs,26.0,0.125,0.020000,0.019446,0.018285
btcs,26.0,0.125,0.040000,0.038815,0.036499
btcs,26.0,0.125,0.060000,0.058031,0.054568
btcs,26.0,0.125,0.080000,0.077018,0.072422
btcs,26.0,0.125,0.100000,0.095701,0.089990
btcs,26.0,0.125,0.120000,0.114007,0.107203
btcs,26.0,0.125,0.140000,0.131862,0.123992
btcs,26.0,0.125,0.160000,0.149197,0.140293
btcs,26.0,0.125,0.180000,0.165944,0.156040
btcs,26.0,0.125,0.200000,0.182035,0.171171
btcs,26.0,0.125,0.220000,0.197408,0.185626
btcs,26.0,0.125,0.240000,0.212002,0.199349
btcs,26.0,0.125,0.260000,0.225759,0.212285
btcs,26.0,0.125,0.280000,0.238625,0.224383
btcs,26.0,0.125,0.300000,0.250550,0.235596
btcs,26.0,0.125,0.320000,0.261485,0.245879
btcs,26.0,0.125,0.340000,0.271389,0.255192
btcs,26.0,0.125,0.360000,0.280222,0.263497
btcs,26.0,0.125,0.380000,0.287949,0.270763
btcs,26.0,0.125,0.400000,0.294539,0.276960
btcs,26.0,0.125,0.420000,0.299967,0.282064
btcs,26.0,0.125,0.440000,0.304211,0.286055
btcs,26.0,0.125,0.460000,0.307254,0.288917
btcs,26.0,0.125,0.480000,0.309085,0.290638
btcs,26.0,0.125,0.500000,0.309697,0.291213
btcs,26.0,0.125,0.520000,0.309085,0.290638
btcs,26.0,0.125,0.540000,0.307254,0.288917
btcs,26.0,0.125,0.560000,0.304211,0.286055
btcs,26.0,0.125,0.580000,0.299967,0.282064
btcs,26.0,0.125,0.600000,0.294539,0.276960
btcs,26.0,0.125,0.620000,0.287949,0.270763
btcs,26.0,0.125,0.640000,0.280222,0.263497
btcs,26.0,0.125,0.660000,0.271389,0.255192
btcs,26.0,0.125,0.680000,0.261485,0.245879
btcs,26.0,0.125,0.700000,0.250550,0.235596
btcs,26.0,0.125,0.720000,0.238625,0.224383
btcs,26.0,0.125,0.740000,0.225759,0.212285
btcs,26.0,0.125,0.760000,0.212002,0.199349
btcs,26.0,0.125,0.780000,0.197408,0.185626
btcs,26.0,0.125,0.800000,0.182035,0.171171
btcs,26.0,0.125,0.820000,0.165944,0.156040
btcs,26.0,0.125,0.840000,0.149197,0.140293
btcs,26.0,0.125,0.860000,0.131862,0.123992
btcs,26.0,0.125,0.880000,0.114007,0.107203
btcs,26.0,0.125,0.900000,0.095701,0.089990
btcs,26.0,0.125,0.920000,0.077018,0.072422
btcs,26.0,0.125,0.940000,0.058031,0.054568
btcs,26.0,0.125,0.960000,0.038815,0.036499
btcs,26.0,0.125,0.980000,0.019446,0.018285
btcs,26.0,0.125,1.000000,0.000000,0.000000
btcs,26.0,0.25,0.000000,0.000000,0.000000
btcs,26.0,0.25,0.020000,0.006022,0.005325
btcs,26.0,0.25,0.040000,0.012021,0.010629
btcs,26.0,0.25,0.060000,0.017972,0.015891
btcs,26.0,0.25,0.080000,0.023852,0.021090
btcs,26.0,0.25,0.100000,0.029638,0.026206
btcs,26.0,0.25,0.120000,0.035308,0.031219
