feature,cell01,cell02,cell03,cell04,cell05,cell06,cell07,cell08,cell09,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20
gene045,14,6,8,14,8,4,11,8,8,6,16,15,0,7,9,11,5,7,11,21
gene046,18,11,6,16,13,8,14,6,19,9,15,20,18,15,7,9,22,16,1,9
gene047,22,13,11,19,4,10,8,5,9,6,3,13,19,13,8,12,15,5,15,14
gene048,16,2,13,5,6,12,7,11,6,22,3,13,16,6,15,10,8,7,8,10
gene049,9,16,10,2,14,17,7,9,17,14,11,11,12,21,18,10,10,15,18,12
gene050,13,9,18,14,15,4,3,17,10,19,14,4,11,13,12,11,11,4,9,10
gene051,17,8,3,19,6,2,19,9,18,14,3,5,19,14,11,11,5,12,9,10
gene052,11,8,4,17,15,10,20,6,12,11,11,5,7,9,6,7,13,11,8,9
gene053,16,9,19,6,11,11,16,13,12,11,15,12,14,14,19,18,19,2,5,14
gene054,18,13,12,10,20,18,11,9,11,14,14,4,10,10,19,2,11,17,17,10
gene055,3,13,14,10,6,13,15,12,5,5,3,20,7,4,11,20,9,17,4,8
gene056,13,7,6,16,12,5,19,7,18,18,20,21,6,11,11,13,18,21,9,19
gene057,7,14,15,7,6,16,9,8,13,20,21,8,5,8,11,17,20,16,14,8
gene058,8,14,6,8,15,8,12,8,5,10,13,8,19,9,9,8,11,12,6,16
gene059,5,17,15,21,16,11,12,4,10,3,7,14,9,2,2,10,10,11,12,13
gene060,14,17,5,7,10,11,14,11,6,6,17,4,13,3,10,4,7,7,10,11
gene061,7,85,17,12,17,7,5,15,144,19,16,8,8,18,14,10,139,130,131,4
gene062,11,61,14,4,5,8,13,13,75,16,3,10,13,11,15,10,58,113,98,14
gene063,6,77,17,13,9,6,6,10,141,17,16,9,4,13,3,14,126,86,124,22
gene064,16,61,3,10,13,12,10,21,132,21,6,17,14,7,9,5,150,55,78,21
gene065,15,73,5,11,10,15,15,10,73,19,22,14,14,16,17,12,124,76,91,1
gene066,20,72,19,15,14,21,2,20,64,2,18,2,5,15,8,6,101,65,113,11
gene067,14,122,11,17,8,11,9,16,145,4,10,19,6,9,16,12,130,144,147,13
gene068,18,122,19,14,17,0,17,10,139,15,19,9,8,11,6,9,132,113,92,9
gene069,18,55,2,14,10,12,16,8,61,14,21,16,18,4,19,20,140,90,111,2
gene070,8,128,7,16,13,1,8,9,81,5,10,8,21,15,14,13,61,141,83,15
gene071,6,8,20,7,18,8,14,7,21,12,5,9,13,18,17,16,3,15,15,21
gene072,18,8,11,20,12,5,18,6,17,14,13,15,10,7,8,15,11,20,12,21
gene073,13,4,5,14,23,10,22,17,5,14,21,9,18,2,9,13,11,14,13,8
gene074,19,18,11,9,2,3,6,4,8,9,11,15,11,17,14,15,10,9,19,11
gene075,7,18,11,12,18,7,8,1,11,11,19,4,6,10,4,6,16,3,12,5
gene076,12,12,0,14,11,9,6,16,14,18,15,18,13,21,15,4,13,7,14,10
gene077,19,19,13,15,5,8,18,21,17,9,19,4,4,9,20,9,4,14,13,17
gene078,0,9,8,14,5,10,10,3,6,8,5,17,9,8,1,16,16,15,8,11
gene079,10,3,9,15,7,16,7,13,19,9,3,11,15,10,8,8,14,13,8,2
gene080,8,20,16,11,6,7,10,3,7,10,2,12,3,12,8,10,12,6,6,20
gene081,10,9,6,16,0,13,13,15,17,7,17,2,13,13,6,14,13,4,17,11
gene082,15,10,21,5,13,10,17,11,7,9,11,16,15,18,3,0,13,7,14,18
gene083,16,20,14,20,13,11,7,3,19,8,6,8,4,15,18,8,0,14,1,4
gene084,13,4,8,16,13,10,18,17,13,14,15,12,16,4,16,10,15,21,16,19
gene085,18,4,12,10,16,15,8,16,13,17,3,5,11,7,5,5,13,12,9,10
gene086,15,4,9,20,12,5,22,13,12,14,16,12,13,7,11,8,18,10,13,13
gene087,9,4,8,16,22,11,7,9,7,14,13,18,8,15,18,16,11,7,16,8
gene088,11,9,4,16,14,3,20,12,14,19,6,20,3,14,3,8,17,22,15,13
gene089,18,8,8,12,6,11,10,15,11,14,6,8,11,8,15,22,5,5,7,11
gene090,12,14,11,6,19,7,12,9,16,14,20,8,14,5,18,6,11,21,17,6
gene091,10,13,1,11,7,12,19,20,14,19,18,6,12,6,10,13,5,11,14,10
gene092,3,16,7,11,14,8,7,15,20,10,14,18,16,9,10,8,12,10,15,18
gene093,11,5,7,9,13,18,14,14,15,19,18,2,17,13,15,5,8,20,8,5
gene094,9,9,8,15,0,5,12,13,13,23,12,14,20,11,8,9,11,6,10,17
gene095,10,6,12,14,14,8,10,14,14,10,13,10,11,7,12,19,23,21,11,7
gene096,9,22,14,4,4,4,6,6,9,11,15,11,13,18,6,10,9,2,16,2
gene097,12,15,14,13,17,2,18,13,16,10,2,13,7,16,2,11,13,11,12,1
gene098,22,15,7,13,6,10,22,4,17,6,18,6,16,6,10,9,14,6,11,17
gene099,13,9,15,20,16,19,14,14,11,7,9,6,13,15,11,16,16,14,8,8
gene100,7,11,20,11,15,3,10,12,3,3,21,7,15,0,10,10,16,15,16,13
