N1,N2,N3,N4,S1,S2,S3,S4
135.765,132.450,135.829,136.162,120.079,127.779,114.685,122.820
145.021,145.397,146.998,145.654,134.020,138.027,125.905,132.344
159.800,157.234,159.971,157.104,140.872,147.042,131.576,139.635
161.470,161.058,163.324,164.650,142.037,147.772,131.519,138.371
178.061,174.888,180.504,177.968,157.820,163.345,148.599,160.458
174.899,171.653,177.072,173.113,157.087,162.081,146.442,158.190
180.715,176.874,181.984,176.287,168.422,174.648,160.330,168.167
185.323,181.718,189.241,183.574,173.033,178.818,161.220,172.422
180.848,175.880,184.818,175.427,171.822,178.736,162.564,171.001
166.810,160.535,170.721,164.253,171.023,172.355,162.240,165.425
170.997,163.536,173.545,163.512,177.021,182.093,169.232,172.890
154.315,150.149,161.345,150.894,166.509,170.193,156.720,164.187
149.975,146.206,154.686,144.974,157.243,164.233,154.448,160.334
136.384,135.002,143.360,130.927,150.305,154.173,147.363,149.929
126.889,124.580,129.692,123.029,143.022,141.505,138.605,139.456
116.259,114.815,123.100,112.535,137.101,138.627,133.285,135.790
114.955,113.611,121.137,109.789,141.260,141.191,141.332,139.622
118.886,115.938,122.566,116.577,133.616,132.400,131.670,132.393
112.864,109.010,115.382,111.565,125.725,128.036,123.741,125.688
102.898,103.998,105.804,102.520,120.791,122.029,119.501,115.191
113.632,110.946,116.744,112.706,119.533,120.303,117.008,117.148
124.451,123.645,125.981,122.482,127.674,128.550,120.706,125.705
128.049,124.420,129.756,127.167,126.734,128.170,124.433,125.201
133.853,131.721,138.456,134.733,129.351,130.796,120.900,126.877
152.258,148.233,151.381,152.548,139.432,142.656,129.354,136.108
154.199,154.312,158.825,155.962,137.012,141.627,129.625,136.320
163.395,160.209,163.218,163.004,150.082,154.025,139.681,150.675
178.838,176.541,184.229,176.590,159.404,160.850,149.405,161.712
181.177,178.560,185.787,179.650,166.101,170.568,154.977,164.115
184.695,179.269,188.097,182.318,173.321,177.843,164.728,171.933
191.602,187.216,195.413,188.985,176.667,183.118,163.172,175.895
185.447,181.595,189.090,181.265,176.669,182.122,168.528,176.063
185.278,182.106,189.878,181.555,181.500,188.474,170.347,182.011
181.951,178.437,184.126,178.047,177.125,181.559,165.329,175.180
168.335,165.695,174.849,161.925,177.002,180.330,170.259,175.889
157.236,153.426,163.070,154.919,171.265,175.124,163.122,170.686
151.182,151.028,159.469,146.940,175.719,176.667,170.237,172.911
140.448,135.187,145.374,137.611,160.160,162.122,155.416,158.435
139.394,134.409,143.523,135.470,161.061,164.314,156.722,160.082
126.726,121.335,130.484,121.900,150.055,151.655,148.362,146.462
124.897,120.845,127.366,119.650,146.480,146.459,144.184,145.201
118.891,114.610,124.159,115.778,142.266,142.120,139.361,139.690
120.049,111.764,123.114,112.959,135.730,135.311,135.032,133.928
118.445,114.688,121.030,113.808,130.576,132.610,127.995,130.572
128.309,123.988,129.926,126.101,133.094,136.920,128.771,133.077
126.626,123.807,132.930,124.971,132.788,134.653,129.846,131.647
143.375,141.202,145.751,141.109,138.504,142.486,130.475,138.231
145.916,141.769,148.650,144.798,136.564,139.862,129.827,135.015
158.392,157.747,157.609,158.009,147.495,152.874,139.233,147.377
